hanja,kor,radical,radical_name,stroke_count,level,rep_pron
蔬,나물 소,艸,풀 초,16,3급,소
顯,나타날 현,頁,머리 혈,23,4급,현
立,설 립,立,설 립,5,준7급,립
漠,넓을 막,水,물 수,14,준3급,막
牽,이끌/끌 견,牛,소 우,11,3급,견
容,얼굴 용,宀,집 면,10,준4급,용
侮,업신여길 모,人,사람 인,9,3급,모
昨,어제 작,日,날 일,9,준6급,작
酒,술 주,酉,닭 유,10,4급,주
筋,힘줄 근,竹,대 죽,12,4급,근
學,배울 학,子,아들 자,16,8급,학
港,항구 항,水,물 수,12,준4급,항
手,손 수,手,손 수,4,준7급,수
起,일어날 기,走,달릴 주,10,준4급,기
疑,의심할 의,疋,짝 필,14,4급,의
紛,어지러울 분,糸,실 사|가는실 멱,10,준3급,분
聽,들을 청,耳,귀 이,22,4급,청
銳,날카로울 예,金,쇠 금|성 김,15,3급,예
勿,말 물,勹,쌀 포,4,준3급,물
畓,논 답,田,밭 전,9,3급,답
血,피 혈,血,피 혈,6,준4급,혈
肉,고기 육,肉,고기 육,6,준4급,육
拜,절 배,手,손 수,9,준4급,배
供,이바지할 공,人,사람 인,8,준3급,공
弱,약할 약,弓,활 궁,10,준6급,약
大,큰 대,大,큰 대,3,8급,대
授,줄 수,手,손 수,11,준4급,수
例,법식 례,人,사람 인,8,6급,례
滅,꺼질/멸할 멸,水,물 수,13,준3급,멸
佛,부처 불,人,사람 인,7,준4급,불
算,셈 산,竹,대 죽,14,7급,산
罪,허물 죄,网,그물 망,13,5급,죄
誤,그르칠 오,言,말씀 언,14,준4급,오
離,떠날 리,隹,새 추,19,4급,리
恥,부끄러울 치,心,마음 심,10,준3급,치
邑,고을 읍,邑,고을 읍,7,7급,읍
拳,주먹 권,手,손 수,10,준3급,권
傷,다칠 상,人,사람 인,13,4급,상
告,고할 고,口,입 구,7,준5급,고
元,으뜸 원,儿,어진사람 인,4,준5급,원
納,들일 납,糸,실 사|가는실 멱,10,4급,납
寂,고요할 적,宀,집 면,11,준3급,적
猛,사나울 맹,犬,개 견,11,준3급,맹
集,모을 집,隹,새 추,12,준6급,집
辨,분별할 변,辛,매울 신,16,3급,변
跡,발자취 적,足,발 족 / 족할 족,13,준3급,적
韓,한국/나라 한,韋,가죽 위,17,8급,한
穫,거둘 확,禾,벼 화,19,3급,확
礎,주춧돌 초,石,돌 석,18,준3급,초
嘗,맛볼 상,口,입 구,14,3급,상
價,값 가,人,사람 인,15,준5급,가
聞,들을 문,耳,귀 이,14,준6급,문
停,머물 정,人,사람 인,11,5급,정
充,채울 충,儿,어진사람 인,6,준5급,충
壬,북방 임,士,선비 사,4,준3급,임
潮,밀물/조수 조,水,물 수,15,4급,조
複,겹칠 복,衣,옷 의,14,4급,복
篇,책 편,竹,대 죽,15,4급,편
戶,집 호,戶,집 호,4,준4급,호
翁,늙은이 옹,羽,깃 우,10,3급,옹
忙,바쁠 망,心,마음 심,6,3급,망
回,돌아올 회,囗,에워쌀 위|나라 국,6,준4급,회
井,우물 정,二,두 이,4,준3급,정
旋,돌 선,方,모 방,11,준3급,선
群,무리 군,羊,양 양,13,4급,군
冥,어두울 명,冖,덮을 멱,10,3급,명
儀,거동 의,人,사람 인,15,4급,의
侯,제후 후,人,사람 인,9,3급,후
否,아닐 부,口,입 구,7,4급,부
抽,뽑을 추,手,손 수,8,3급,추
謀,꾀 모,言,말씀 언,16,준3급,모
衣,옷 의,衣,옷 의,6,6급,의
陽,볕 양,阜,언덕 부,12,6급,양
印,도장 인,卩,병부 절,6,준4급,인
列,벌릴 렬,刀,칼 도,6,준4급,렬
更,고칠 경|다시 갱,曰,가로 왈,7,4급,경
因,인할 인,囗,에워쌀 위|나라 국,6,5급,인
三,석 삼,一,한 일,3,8급,삼
中,가운데 중,丨,뚫을 곤,4,8급,중
靑,푸를 청,靑,푸를 청,8,8급,청
束,묶을 속,木,나무 목,7,준5급,속
爭,다툴 쟁,爪,손톱 조,8,5급,쟁
侍,모실 시,人,사람 인,8,준3급,시
申,납 신,田,밭 전,5,준4급,신
緊,긴할 긴,糸,실 사|가는실 멱,14,준3급,긴
誕,낳을/거짓 탄,言,말씀 언,14,3급,탄
所,바 소,戶,집 호,8,7급,소
質,바탕 질,貝,조개 패,15,준5급,질
央,가운데 앙,大,큰 대,5,준3급,앙
桂,계수나무 계,木,나무 목,10,준3급,계
冠,갓 관,冖,덮을 멱,9,준3급,관
惜,아낄 석,心,마음 심,11,준3급,석
惟,생각할 유,心,마음 심,11,3급,유
數,셈 수,攴,칠 복,15,7급,수
高,높을 고,高,높을 고,10,준6급,고
楓,단풍 풍,木,나무 목,13,준3급,풍
暇,틈/겨를 가,日,날 일,13,4급,가
臟,오장 장,肉,고기 육,22,준3급,장
英,꽃부리 영,艸,풀 초,9,6급,영
視,볼 시,見,볼 견|뵈올 현,12,준4급,시
