hanja,kor,radical,radical_name,stroke_count,level,rep_pron
鳴,울 명,鳥,새 조,14,4급,명
策,꾀 책,竹,대 죽,12,준3급,책
給,줄 급,糸,실 사|가는실 멱,12,5급,급
蟲,벌레 충,虫,벌레 훼,18,준4급,충
團,둥글 단,囗,에워쌀 위|나라 국,14,준5급,단
店,가게 점,广,집 엄,8,준5급,점
兼,겸할 겸,八,여덟 팔,10,준3급,겸
半,반 반,十,열 십,5,준6급,반
稅,세금 세,禾,벼 화,12,준4급,세
秀,빼어날 수,禾,벼 화,7,4급,수
約,맺을 약,糸,실 사|가는실 멱,9,준5급,약
統,거느릴 통,糸,실 사|가는실 멱,12,준4급,통
叔,아재비 숙,又,또 우,8,4급,숙
尊,높을 존,寸,마디 촌,12,준4급,존
蜂,벌 봉,虫,벌레 훼,13,3급,봉
航,배 항,舟,배 주,10,준4급,항
暑,더울 서,日,날 일,13,3급,서
林,수풀 림,木,나무 목,8,7급,림
涼,서늘할 량,水,물 수,11,준3급,량
鎖,쇠사슬 쇄,金,쇠 금|성 김,18,준3급,쇄
淺,얕을 천,水,물 수,11,준3급,천
向,향할 향,口,입 구,6,6급,향
興,일 흥,臼,절구 구,16,준4급,흥
想,생각 상,心,마음 심,13,준4급,상
庶,여러 서,广,집 엄,11,3급,서
帥,장수 수,巾,수건 건,9,준3급,수
肯,즐길 긍,肉,고기 육,8,3급,긍
育,기를 육,肉,고기 육,8,7급,육
幼,어릴 유,幺,작을 요,5,준3급,유
模,본뜰 모,木,나무 목,15,4급,모
決,결단할 결,水,물 수,7,준5급,결
骨,뼈 골,骨,뼈 골,10,4급,골
患,근심 환,心,마음 심,11,5급,환
距,상거할 거,足,발 족 / 족할 족,12,준3급,거
盟,맹세 맹,皿,그릇 명,13,준3급,맹
圓,둥글 원,囗,에워쌀 위|나라 국,13,준4급,원
崇,높을 숭,山,메 산,11,4급,숭
治,다스릴 치,水,물 수,8,준4급,치
鮮,고울 선,魚,고기/물고기 어,17,준5급,선
論,논할 론,言,말씀 언,15,준4급,론
誦,욀 송,言,말씀 언,14,3급,송
馬,말 마,馬,말 마,10,5급,마
胃,밥통 위,肉,고기 육,9,준3급,위
資,재물 자,貝,조개 패,13,4급,자
牙,어금니 아,牙,어금니 아,4,준3급,아
省,살필 성|덜 생,目,눈 목,9,준6급,성
府,마을 부,广,집 엄,8,준4급,부
投,던질 투,手,손 수,7,4급,투
獻,드릴 헌,犬,개 견,20,준3급,헌
徵,부를 징,彳,조금걸을 척,15,준3급,징
生,날 생,生,날 생,5,8급,생
振,떨칠 진,手,손 수,10,준3급,진
步,걸음 보,止,그칠 지,7,준4급,보
督,감독할 독,目,눈 목,13,준4급,독
請,청할 청,言,말씀 언,15,준4급,청
孔,구멍 공,子,아들 자,4,4급,공
陰,그늘 음,阜,언덕 부,11,준4급,음
濕,젖을 습,水,물 수,17,준3급,습
拒,막을 거,手,손 수,8,4급,거
適,맞을 적,辵,쉬엄쉬엄갈 착,15,4급,적
幽,그윽할 유,幺,작을 요,9,준3급,유
負,질 부,貝,조개 패,9,4급,부
乃,이에 내,丿,삐침 별,2,3급,내
稀,드물 희,禾,벼 화,12,준3급,희
某,아무 모,木,나무 목,9,3급,모
着,붙을 착,目,눈 목,12,준5급,착
原,언덕 원,厂,기슭 한,10,5급,원
績,길쌈 적,糸,실 사|가는실 멱,17,4급,적
綱,벼리 강,糸,실 사|가는실 멱,14,준3급,강
伴,짝 반,人,사람 인,7,3급,반
端,끝 단,立,설 립,14,준4급,단
再,두 재,冂,멀 경,6,5급,재
皮,가죽 피,皮,가죽 피,5,준3급,피
戲,놀이 희,戈,창 과,17,준3급,희
親,친할 친,見,볼 견|뵈올 현,16,6급,친
慘,참혹할 참,心,마음 심,14,3급,참
海,바다 해,水,물 수,10,준7급,해
話,말씀 화,言,말씀 언,13,준7급,화
募,모을/뽑을 모,力,힘 력,13,3급,모
消,사라질 소,水,물 수,10,준6급,소
縣,고을 현,糸,실 사|가는실 멱,16,3급,현
迷,미혹할 미,辵,쉬엄쉬엄갈 착,10,3급,미
任,맡길 임,人,사람 인,6,준5급,임
翼,날개 익,羽,깃 우,17,준3급,익
解,풀 해,角,뿔 각,13,준4급,해
湖,호수 호,水,물 수,12,5급,호
項,항목 항,頁,머리 혈,12,준3급,항
勵,힘쓸 려,力,힘 력,17,준3급,려
怪,괴이할 괴,心,마음 심,8,준3급,괴
捉,잡을 착,手,손 수,10,3급,착
希,바랄 희,巾,수건 건,7,준4급,희
反,돌이킬/돌아올 반,又,또 우,4,준6급,반
斷,끊을 단,斤,근/날 근,18,준4급,단
紀,벼리 기,糸,실 사|가는실 멱,9,4급,기
載,실을 재,車,수레 거/차,13,준3급,재
暫,잠깐 잠,日,날 일,15,준3급,잠
査,조사할 사,木,나무 목,9,5급,사
業,업 업,木,나무 목,13,준6급,업
島,섬 도,山,메 산,10,5급,도
易,바꿀 역|쉬울 이,日,날 일,8,4급,역
