hanja,kor,radical,radical_name,stroke_count,level,rep_pron
祖,할아비 조,示,보일 시,10,7급,조
織,짤 직,糸,실 사|가는실 멱,18,4급,직
誇,자랑할 과,言,말씀 언,13,준3급,과
穀,곡식 곡,禾,벼 화,15,4급,곡
需,쓰일/쓸 수,雨,비 우,14,준3급,수
單,홑 단,口,입 구,12,준4급,선
腦,골/뇌수 뇌,肉,고기 육,13,준3급,뇌
窓,창 창,穴,굴 혈,11,준6급,창
巡,돌/순행할 순,巛,내 천,7,준3급,순
能,능할 능,肉,고기 육,10,준5급,능
邪,간사할 사,邑,고을 읍,7,준3급,사
程,한도/길 정,禾,벼 화,12,준4급,정
池,못 지,水,물 수,6,준3급,지
燥,마를 조,火,불 화,17,3급,조
擊,칠 격,手,손 수,17,4급,격
當,마땅 당,田,밭 전,13,준5급,당
維,벼리 유,糸,실 사|가는실 멱,14,준3급,유
固,굳을 고,囗,에워쌀 위|나라 국,8,5급,고
浩,넓을 호,水,물 수,10,준3급,호
輿,수레 여,車,수레 거/차,17,3급,여
作,지을 작,人,사람 인,7,준6급,작
韻,운 운,音,소리 음,19,준3급,운
員,인원 원,口,입 구,10,준4급,원
言,말씀 언,言,말씀 언,7,6급,언
憐,불쌍히여길 련,心,마음 심,15,3급,련
里,마을 리,里,마을 리,7,7급,리
主,임금/주인 주,丶,점 주,5,7급,주
落,떨어질 락,艸,풀 초,13,5급,락
路,길 로,足,발 족 / 족할 족,13,6급,로
贈,줄 증,貝,조개 패,19,3급,증
羅,벌릴 라,网,그물 망,19,준4급,라
卓,높을 탁,十,열 십,8,5급,탁
慙,부끄러워할 참,心,마음 심,15,3급,참
水,물 수,水,물 수,4,8급,수
飾,꾸밀 식,食,밥/먹을 식,14,준3급,식
奚,어찌 해,大,큰 대,10,3급,해
暖,따뜻할 난,日,날 일,13,준4급,난
墓,무덤 묘,土,흙 토,14,4급,묘
始,비로소 시,女,계집 녀,8,준6급,시
亥,돼지 해,亠,돼지해머리 두,6,3급,해
旣,이미 기,无,없을 무,11,3급,기
測,헤아릴 측,水,물 수,12,준4급,측
暗,어두울 암,日,날 일,13,준4급,암
件,물건 건,人,사람 인,6,5급,건
改,고칠 개,攴,칠 복,7,5급,개
器,그릇 기,口,입 구,16,준4급,기
敦,도타울 돈,攴,칠 복,12,3급,돈
仙,신선 선,人,사람 인,5,준5급,선
遣,보낼 견,辵,쉬엄쉬엄갈 착,14,3급,견
承,이을 승,手,손 수,8,준4급,승
賀,하례할 하,貝,조개 패,12,준3급,하
耕,밭갈 경,耒,가래 뢰,10,준3급,경
棄,버릴 기,木,나무 목,12,3급,기
唐,당나라/당황할 당,口,입 구,10,준3급,당
檀,박달나무 단,木,나무 목,17,준4급,단
臭,냄새 취,自,스스로 자,10,3급,취
佐,도울 좌,人,사람 인,7,3급,좌
堤,둑 제,土,흙 토,12,3급,제
栗,밤 률,木,나무 목,10,준3급,률
準,준할 준,水,물 수,13,준4급,준
才,재주 재,手,손 수,3,준6급,재
倍,곱 배,人,사람 인,10,5급,배
漂,떠다닐 표,水,물 수,14,3급,표
枯,마를 고,木,나무 목,9,3급,고
恭,공손할 공,心,마음 심,10,준3급,공
到,이를 도,刀,칼 도,8,준5급,도
漫,흩어질 만,水,물 수,14,3급,만
短,짧을 단,矢,화살 시,12,준6급,단
呼,부를 호,口,입 구,8,준4급,호
千,일천 천,十,열 십,3,7급,천
李,오얏/성 리,木,나무 목,7,6급,리
薄,엷을 박,艸,풀 초,17,준3급,박
亞,버금 아,二,두 이,8,준3급,아
用,쓸 용,用,쓸 용,5,준6급,용
烈,매울 렬,火,불 화,10,4급,렬
予,나 여,亅,갈고리 궐,4,3급,여
祭,제사 제,示,보일 시,11,준4급,제
濯,씻을 탁,水,물 수,17,3급,탁
拍,칠 박,手,손 수,8,4급,박
匹,짝 필,匸,감출 혜,4,3급,필
廟,사당 묘,广,집 엄,15,3급,묘
姉,손윗누이 자,女,계집 녀,8,4급,자
收,거둘 수,攴,칠 복,6,준4급,수
鉛,납 연,金,쇠 금|성 김,13,4급,연
今,이제 금,人,사람 인,4,준6급,금
捕,잡을 포,手,손 수,10,준3급,포
困,곤할 곤,囗,에워쌀 위|나라 국,7,4급,곤
被,입을 피,衣,옷 의,10,준3급,피
猶,오히려 유,犬,개 견,12,준3급,유
料,헤아릴 료,斗,말 두,10,5급,료
墳,무덤 분,土,흙 토,15,3급,분
退,물러날 퇴,辵,쉬엄쉬엄갈 착,10,준4급,퇴
無,없을 무,火,불 화,12,5급,무
官,벼슬 관,宀,집 면,8,준4급,관
悠,멀 유,心,마음 심,11,준3급,유
必,반드시 필,心,마음 심,5,준5급,필
硬,굳을 경,石,돌 석,12,준3급,경
演,펼 연,水,물 수,14,준4급,연
糾,얽을 규,糸,실 사|가는실 멱,8,3급,규
烏,까마귀 오,火,불 화,10,준3급,오
