hanja,kor,radical,radical_name,stroke_count,level,rep_pron
借,빌/빌릴 차,人,사람 인,10,준3급,차
眉,눈썹 미,目,눈 목,9,3급,미
彼,저 피,彳,조금걸을 척,8,준3급,피
屋,집 옥,尸,주검 시,9,5급,옥
逢,만날 봉,辵,쉬엄쉬엄갈 착,11,준3급,봉
役,부릴 역,彳,조금걸을 척,7,준3급,역
小,작을 소,小,작을 소,3,8급,소
油,기름 유,水,물 수,8,6급,유
犬,개 견,犬,개 견,4,4급,견
壤,흙덩이 양,土,흙 토,20,준3급,양
旅,나그네 려,方,모 방,10,준5급,려
敵,대적할 적,攴,칠 복,15,준4급,적
信,믿을 신,人,사람 인,9,준6급,신
行,다닐 행|항렬 항,行,다닐 행|항렬 항,6,6급,행
肥,살찔 비,肉,고기 육,8,준3급,비
稻,벼 도,禾,벼 화,15,3급,도
國,나라 국,囗,에워쌀 위|나라 국,11,8급,국
乘,탈 승,丿,삐침 별,10,준3급,승
課,공부할/과정 과,言,말씀 언,15,준5급,과
赴,다다를/갈 부,走,달릴 주,9,3급,부
幹,줄기 간,干,방패 간,13,준3급,간
驗,시험 험,馬,말 마,23,준4급,험
竟,마침내 경,立,설 립,11,3급,경
疏,소통할 소,疋,짝 필,12,준3급,소
博,넓을 박,十,열 십,12,준4급,박
戒,경계할 계,戈,창 과,7,4급,계
夢,꿈 몽,夕,저녁 석,14,준3급,몽
域,지경 역,土,흙 토,11,4급,역
眼,눈 안,目,눈 목,11,준4급,안
雨,비 우,雨,비 우,8,준5급,우
操,잡을 조,手,손 수,16,5급,조
慶,경사 경,心,마음 심,15,준4급,경
岳,큰산 악,山,메 산,8,3급,악
至,이를 지,至,이를 지,6,준4급,지
我,나 아,戈,창 과,7,준3급,아
令,하여금 령,人,사람 인,5,5급,령
毒,독 독,毋,말 무,9,준4급,독
細,가늘 세,糸,실 사|가는실 멱,11,준4급,세
識,알 식,言,말씀 언,19,준5급,식
奴,종 노,女,계집 녀,5,준3급,노
隱,숨을 은,阜,언덕 부,17,4급,은
條,가지 조,木,나무 목,11,4급,조
宇,집 우,宀,집 면,6,준3급,우
奪,빼앗을 탈,大,큰 대,14,준3급,탈
度,법도 도|헤아릴 탁,广,집 엄,9,6급,도
望,바랄 망,月,달 월,11,준5급,망
丈,어른 장,一,한 일,3,준3급,장
段,층계 단,殳,창 수,9,4급,단
欺,속일 기,欠,하품 흠,12,3급,기
究,연구할 구,穴,굴 혈,7,준4급,구
則,법칙 칙,刀,칼 도,9,5급,칙
野,들 야,里,마을 리,11,6급,야
押,누를 압,手,손 수,8,3급,압
迫,핍박할 박,辵,쉬엄쉬엄갈 착,9,준3급,박
甲,갑옷 갑,田,밭 전,5,4급,갑
引,끌 인,弓,활 궁,4,준4급,인
凍,얼 동,冫,얼음 빙,10,준3급,동
後,뒤 후,彳,조금걸을 척,9,준7급,후
訓,가르칠 훈,言,말씀 언,10,6급,훈
孤,외로울 고,子,아들 자,8,4급,고
尾,꼬리 미,尸,주검 시,7,준3급,미
黃,누를 황,黃,누를 황,12,6급,황
吾,나 오,口,입 구,7,3급,오
伐,칠 벌,人,사람 인,6,준4급,벌
甘,달 감,甘,달 감,5,4급,감
沈,잠길 침|성씨 심,水,물 수,7,준3급,침
庸,떳떳할 용,广,집 엄,11,3급,용
甚,심할 심,甘,달 감,9,준3급,심
採,캘 채,手,손 수,11,4급,채
得,얻을 득,彳,조금걸을 척,11,준4급,득
挑,돋울 도,手,손 수,9,3급,도
慾,욕심 욕,心,마음 심,15,준3급,욕
古,예 고,口,입 구,5,6급,고
誰,누구 수,言,말씀 언,15,3급,수
符,부호 부,竹,대 죽,11,준3급,부
頌,기릴/칭송할 송,頁,머리 혈,13,4급,송
努,힘쓸 노,力,힘 력,7,준4급,노
妥,온당할 타,女,계집 녀,7,3급,타
力,힘 력,力,힘 력,2,준7급,력
訂,바로잡을 정,言,말씀 언,9,3급,정
校,학교 교,木,나무 목,10,8급,교
說,말씀 설|달랠 세,言,말씀 언,14,준5급,설
君,임금 군,口,입 구,7,4급,군
記,기록할 기,言,말씀 언,10,준7급,기
遞,갈릴 체,辵,쉬엄쉬엄갈 착,14,3급,체
便,편할 편|똥오줌 변,人,사람 인,9,7급,편
戌,개 술,戈,창 과,6,3급,술
石,돌 석,石,돌 석,5,6급,석
創,비롯할 창,刀,칼 도,12,준4급,창
死,죽을 사,歹,뼈앙상할 알|나쁠 대,6,6급,사
暴,사나울 폭|모질 포,日,날 일,15,준4급,폭
御,거느릴 어,彳,조금걸을 척,12,준3급,어
壇,단 단,土,흙 토,16,5급,단
取,가질 취,又,또 우,8,준4급,취
砲,대포 포,石,돌 석,10,준4급,포
惡,악할 악|미워할 오,心,마음 심,12,준5급,악
笑,웃음 소,竹,대 죽,10,준4급,소
貨,재물 화,貝,조개 패,11,준4급,화
昌,창성할 창,日,날 일,8,준3급,창
整,가지런할 정,攴,칠 복,16,4급,정
