hanja,kor,radical,radical_name,stroke_count,level,rep_pron
許,허락할 허,言,말씀 언,11,5급,허
毫,터럭 호,毛,털 모,11,3급,호
慣,익숙할 관,心,마음 심,14,준3급,관
進,나아갈 진,辵,쉬엄쉬엄갈 착,12,준4급,진
現,나타날 현,玉,구슬 옥,11,준6급,현
參,참여할 참,厶,사사 사,11,준5급,참
額,이마 액,頁,머리 혈,18,4급,액
害,해할 해,宀,집 면,10,준5급,해
動,움직일 동,力,힘 력,11,준7급,동
左,왼 좌,工,장인 공,5,준7급,좌
兆,억조 조,儿,어진사람 인,6,준3급,조
師,스승 사,巾,수건 건,10,준4급,사
寶,보배 보,宀,집 면,20,준4급,보
携,이끌 휴,手,손 수,13,3급,휴
獄,옥 옥,犬,개 견,14,준3급,옥
曲,굽을 곡,曰,가로 왈,6,5급,곡
契,맺을 계,大,큰 대,9,준3급,계
淡,맑을 담,水,물 수,11,준3급,담
床,상 상,广,집 엄,7,준4급,상
輪,바퀴 륜,車,수레 거/차,15,4급,륜
緖,실마리 서,糸,실 사|가는실 멱,15,준3급,서
守,지킬 수,宀,집 면,6,준4급,수
免,면할 면,儿,어진사람 인,7,준3급,면
讀,읽을 독|구절 두,言,말씀 언,22,준6급,독
往,갈 왕,彳,조금걸을 척,8,준4급,왕
職,직분 직,耳,귀 이,18,준4급,직
庚,별 경,广,집 엄,8,3급,경
賴,의뢰할 뢰,貝,조개 패,16,준3급,뢰
催,재촉할 최,人,사람 인,13,준3급,최
蛇,긴뱀 사,虫,벌레 훼,11,준3급,사
就,나아갈 취,尢,절름발이 왕,12,4급,취
性,성품 성,心,마음 심,8,준5급,성
倒,넘어질 도,人,사람 인,10,준3급,도
檢,검사할 검,木,나무 목,17,준4급,검
釋,풀 석,釆,나눌 변,20,준3급,석
曉,새벽 효,日,날 일,16,3급,효
乞,빌 걸,乙,둘째 천간 을,3,3급,걸
搖,흔들 요,手,손 수,13,3급,요
掃,쓸 소,手,손 수,11,준4급,소
瞬,눈깜짝일 순,目,눈 목,17,준3급,순
詳,자세할 상,言,말씀 언,13,준3급,상
矣,어조사 의,矢,화살 시,7,3급,의
基,터 기,土,흙 토,11,준5급,기
舌,혀 설,舌,혀 설,6,4급,설
寒,찰 한,宀,집 면,12,5급,한
天,하늘 천,大,큰 대,4,7급,천
者,놈 자,老,늙을 로,9,6급,자
麻,삼 마,麻,삼 마,11,준3급,마
逃,도망할 도,辵,쉬엄쉬엄갈 착,10,4급,도
只,다만 지,口,입 구,5,3급,지
確,굳을 확,石,돌 석,15,준4급,확
朋,벗 붕,月,달 월,8,3급,붕
洲,물가 주,水,물 수,9,준3급,주
乾,하늘/마를 건,乙,둘째 천간 을,11,준3급,건
製,지을 제,衣,옷 의,14,준4급,제
通,통할 통,辵,쉬엄쉬엄갈 착,11,6급,통
財,재물 재,貝,조개 패,10,준5급,재
散,흩을 산,攴,칠 복,12,4급,산
宴,잔치 연,宀,집 면,10,준3급,연
又,또 우,又,또 우,2,3급,우
恨,한 한,心,마음 심,9,4급,한
封,봉할 봉,寸,마디 촌,9,준3급,봉
習,익힐 습,羽,깃 우,11,6급,습
詠,읊을 영,言,말씀 언,12,3급,영
等,무리 등,竹,대 죽,12,준6급,등
餓,주릴 아,食,밥/먹을 식,16,3급,아
吹,불 취,口,입 구,7,준3급,취
遠,멀 원,辵,쉬엄쉬엄갈 착,14,6급,원
軌,바퀴자국 궤,車,수레 거/차,9,3급,궤
見,볼 견|뵈올 현,見,볼 견|뵈올 현,7,준5급,견
斥,물리칠 척,斤,근/날 근,5,3급,척
昏,어두울 혼,日,날 일,8,3급,혼
雷,우레 뢰,雨,비 우,13,준3급,뢰
卯,토끼 묘,卩,병부 절,5,3급,묘
蝶,나비 접,虫,벌레 훼,15,3급,접
智,슬기/지혜 지,日,날 일,12,4급,지
失,잃을 실,大,큰 대,5,6급,실
品,물건 품,口,입 구,9,준5급,품
雖,비록 수,隹,새 추,17,3급,수
譜,족보 보,言,말씀 언,19,준3급,보
逝,갈 서,辵,쉬엄쉬엄갈 착,11,3급,서
症,증세 증,疒,병들어기댈 녁,10,준3급,증
務,힘쓸 무,力,힘 력,11,준4급,무
桑,뽕나무 상,木,나무 목,10,준3급,상
不,아닐 불,一,한 일,4,준7급,불
侵,침노할 침,人,사람 인,9,준4급,침
問,물을 문,口,입 구,11,7급,문
超,뛰어넘을 초,走,달릴 주,12,준3급,초
敗,패할 패,攴,칠 복,11,5급,패
菜,나물 채,艸,풀 초,12,준3급,채
券,문서 권,刀,칼 도,8,4급,권
情,뜻 정,心,마음 심,11,준5급,정
排,밀칠 배,手,손 수,11,준3급,배
角,뿔 각,角,뿔 각,7,준6급,각
葉,잎 엽,艸,풀 초,13,5급,엽
惠,은혜 혜,心,마음 심,12,준4급,혜
枕,베개 침,木,나무 목,8,3급,침
本,근본 본,木,나무 목,5,6급,본
鏡,거울 경,金,쇠 금|성 김,19,4급,경
兄,형 형,儿,어진사람 인,5,8급,형
