hanja,kor,radical,radical_name,stroke_count,level,rep_pron
存,있을 존,子,아들 자,6,4급,존
朗,밝을 랑,月,달 월,11,준5급,랑
議,의논할 의,言,말씀 언,20,준4급,의
累,여러/자주 루,糸,실 사|가는실 멱,11,준3급,루
竊,훔칠 절,穴,굴 혈,22,3급,절
辛,매울 신,辛,매울 신,7,3급,신
郊,들 교,邑,고을 읍,9,3급,교
丁,고무래/장정 정,一,한 일,2,4급,정
鍊,쇠불릴/단련할 련,金,쇠 금|성 김,17,준3급,련
費,쓸 비,貝,조개 패,12,5급,비
盡,다할 진,皿,그릇 명,14,4급,진
赤,붉을 적,赤,붉을 적,7,5급,적
飢,주릴 기,食,밥/먹을 식,11,3급,기
悟,깨달을 오,心,마음 심,10,준3급,오
評,평할 평,言,말씀 언,12,4급,평
謂,이를 위,言,말씀 언,16,준3급,위
與,더불/줄 여,臼,절구 구,14,4급,여
汚,더러울 오,水,물 수,6,3급,오
底,밑 저,广,집 엄,8,4급,저
螢,반딧불 형,虫,벌레 훼,16,3급,형
表,겉 표,衣,옷 의,8,준6급,표
故,연고 고,攴,칠 복,9,준4급,고
常,떳떳할 상,巾,수건 건,11,준4급,상
音,소리 음,音,소리 음,9,준6급,음
警,깨우칠 경,言,말씀 언,20,준4급,경
齒,이 치,齒,이 치,15,준4급,치
考,생각할 고,老,늙을 로,6,5급,고
弓,활 궁,弓,활 궁,3,준3급,궁
獸,짐승 수,犬,개 견,19,준3급,수
賊,도둑 적,貝,조개 패,13,4급,적
事,일 사,亅,갈고리 궐,8,준7급,사
書,글 서,曰,가로 왈,10,준6급,서
句,글귀 구,口,입 구,5,준4급,구
錯,어긋날 착,金,쇠 금|성 김,16,준3급,착
値,값 치,人,사람 인,10,준3급,치
完,완전할 완,宀,집 면,7,5급,완
誓,맹세할 서,言,말씀 언,14,3급,서
錢,돈 전,金,쇠 금|성 김,16,4급,전
恣,마음대로/방자할 자,心,마음 심,10,3급,자
尺,자 척,尸,주검 시,4,준3급,척
極,다할/극진할 극,木,나무 목,13,준4급,극
蘭,난초 란,艸,풀 초,21,준3급,란
休,쉴 휴,人,사람 인,6,7급,휴
勉,힘쓸 면,力,힘 력,9,4급,면
修,닦을 수,人,사람 인,10,준4급,수
濁,흐릴 탁,水,물 수,16,3급,탁
跳,뛸 도,足,발 족 / 족할 족,13,3급,도
占,점령할/점칠 점,卜,점 복,5,4급,점
朱,붉을 주,木,나무 목,6,4급,주
先,먼저 선,儿,어진사람 인,6,8급,선
式,법 식,弋,주살 익,6,6급,식
宿,잘 숙|별자리 수,宀,집 면,11,준5급,숙
浸,잠길 침,水,물 수,10,준3급,침
色,빛 색,色,빛 색,6,7급,색
燕,제비 연,火,불 화,16,준3급,연
醫,의원 의,酉,닭 유,18,6급,의
房,방 방,戶,집 호,8,준4급,방
證,증거 증,言,말씀 언,19,4급,증
舞,춤출 무,舛,어그러질 천,14,4급,무
鬪,싸움 투,鬥,싸울 투,20,4급,투
蘇,되살아날 소,艸,풀 초,20,준3급,소
最,가장 최,曰,가로 왈,12,5급,최
背,등 배,肉,고기 육,9,준4급,배
推,밀 추,手,손 수,11,4급,추
使,하여금/부릴 사,人,사람 인,8,6급,사
徐,천천할 서,彳,조금걸을 척,10,준3급,서
良,어질 량,艮,괘이름 간,7,준5급,량
倣,본뜰 방,人,사람 인,10,3급,방
訪,찾을 방,言,말씀 언,11,준4급,방
爵,벼슬 작,爪,손톱 조,18,3급,작
妹,누이 매,女,계집 녀,8,4급,매
體,몸 체,骨,뼈 골,23,준6급,체
號,이름 호,虍,호피무늬 호,13,6급,호
吏,벼슬아치/관리 리,口,입 구,6,준3급,리
廳,관청 청,广,집 엄,25,4급,청
昇,오를 승,日,날 일,8,준3급,승
衰,쇠할 쇠,衣,옷 의,10,준3급,쇠
氷,얼음 빙,水,물 수,5,5급,빙
邦,나라 방,邑,고을 읍,7,3급,방
貝,조개 패,貝,조개 패,7,3급,패
傑,뛰어날 걸,人,사람 인,12,4급,걸
係,맬 계,人,사람 인,9,준4급,계
孫,손자 손,子,아들 자,10,6급,손
工,장인 공,工,장인 공,3,준7급,공
牛,소 우,牛,소 우,4,5급,우
點,점 점,黑,검을 흑,17,4급,점
隔,사이뜰 격,阜,언덕 부,13,준3급,격
刺,찌를 자|찌를 척,刀,칼 도,8,준3급,척
紋,무늬 문,糸,실 사|가는실 멱,10,준3급,문
鎭,진압할 진,金,쇠 금|성 김,18,준3급,진
開,열 개,門,문 문,12,6급,개
敬,공경 경,攴,칠 복,13,준5급,경
珍,보배 진,玉,구슬 옥,9,4급,진
丙,남녘 병,一,한 일,5,준3급,병
茫,아득할 망,艸,풀 초,10,3급,망
云,이를 운,二,두 이,4,3급,운
糖,엿 당,米,쌀 미,16,준3급,당
幾,몇 기,幺,작을 요,12,3급,기
男,사내 남,田,밭 전,7,준7급,남
介,낄 개,人,사람 인,4,준3급,개
