hanja,kor,radical,radical_name,stroke_count,level,rep_pron
羊,양 양,羊,양 양,6,준4급,양
裕,넉넉할 유,衣,옷 의,12,준3급,유
斗,말 두,斗,말 두,4,준4급,두
寢,잘 침,宀,집 면,14,4급,침
沙,모래 사,水,물 수,7,준3급,사
穴,굴 혈,穴,굴 혈,5,준3급,혈
悅,기쁠 열,心,마음 심,10,준3급,열
定,정할 정,宀,집 면,8,6급,정
處,곳 처,虍,호피무늬 호,11,준4급,처
直,곧을 직,目,눈 목,8,준7급,직
但,다만 단,人,사람 인,7,준3급,단
此,이 차,止,그칠 지,6,준3급,차
服,옷 복,月,달 월,8,6급,복
召,부를 소,口,입 구,5,3급,소
差,다를 차,工,장인 공,10,4급,차
根,뿌리 근,木,나무 목,10,6급,근
持,가질 지,手,손 수,9,4급,지
殃,재앙 앙,歹,뼈앙상할 알|나쁠 대,9,3급,앙
舍,집 사,舌,혀 설,8,준4급,사
身,몸 신,身,몸 신,7,준6급,신
泥,진흙 니,水,물 수,8,준3급,니
衆,무리 중,血,피 혈,12,준4급,중
案,책상 안,木,나무 목,10,5급,안
命,목숨 명,口,입 구,8,7급,명
循,돌 순,彳,조금걸을 척,12,3급,순
斯,이 사,斤,근/날 근,12,3급,사
頃,이랑/잠깐 경,頁,머리 혈,11,준3급,경
鴻,기러기 홍,鳥,새 조,17,3급,홍
每,매양 매,毋,말 무,7,준7급,매
終,마칠 종,糸,실 사|가는실 멱,11,5급,종
陣,진칠 진,阜,언덕 부,10,4급,진
揮,휘두를 휘,手,손 수,12,4급,휘
香,향기 향,香,향기 향,9,준4급,향
類,무리 류,頁,머리 혈,19,준5급,류
罷,마칠 파,网,그물 망,15,3급,파
零,떨어질/영 령,雨,비 우,13,3급,령
座,자리 좌,广,집 엄,10,4급,좌
玉,구슬 옥,玉,구슬 옥,5,준4급,옥
蓄,모을 축,艸,풀 초,14,준4급,축
母,어미 모,毋,말 무,5,8급,모
慈,사랑 자,心,마음 심,13,준3급,자
慰,위로할 위,心,마음 심,15,4급,위
晨,새벽 신,日,날 일,11,3급,신
種,씨 종,禾,벼 화,14,준5급,종
炭,숯 탄,火,불 화,9,5급,탄
聘,부를 빙,耳,귀 이,13,3급,빙
區,구분할/지경 구,匸,감출 혜,11,6급,구
致,이를 치,至,이를 지,10,5급,치
拓,넓힐 척,手,손 수,8,준3급,척
司,맡을 사,口,입 구,5,준3급,사
擴,넓힐 확,手,손 수,18,3급,확
互,서로 호,二,두 이,4,3급,호
狂,미칠 광,犬,개 견,7,준3급,광
州,고을 주,巛,내 천,6,준5급,주
禁,금할 금,示,보일 시,13,준4급,금
求,구할 구,水,물 수,7,준4급,구
淫,음란할 음,水,물 수,11,준3급,음
遲,더딜/늦을 지,辵,쉬엄쉬엄갈 착,16,3급,지
尙,오히려 상,小,작을 소,8,준3급,상
毁,헐 훼,殳,창 수,13,3급,훼
增,더할 증,土,흙 토,15,준4급,증
邊,가 변,辵,쉬엄쉬엄갈 착,19,준4급,변
冷,찰 랭,冫,얼음 빙,7,5급,랭
澤,못 택,水,물 수,16,준3급,택
兩,두 량,入,들 입,8,준4급,량
次,버금 차,欠,하품 흠,6,준4급,차
郞,사내 랑,邑,고을 읍,10,준3급,랑
帝,임금 제,巾,수건 건,9,4급,제
姻,혼인 인,女,계집 녀,9,3급,인
克,이길 극,儿,어진사람 인,7,준3급,극
歷,지날 력,止,그칠 지,16,준5급,력
星,별 성,日,날 일,9,준4급,성
壯,장할 장,士,선비 사,7,4급,장
看,볼 간,目,눈 목,9,4급,간
妾,첩 첩,女,계집 녀,8,3급,첩
溫,따뜻할 온,水,물 수,13,6급,온
汽,물끓는김 기,水,물 수,7,5급,기
斤,근/날 근,斤,근/날 근,4,3급,근
範,법 범,竹,대 죽,15,4급,범
道,길 도,辵,쉬엄쉬엄갈 착,13,준7급,도
神,귀신 신,示,보일 시,10,준6급,신
敍,펼 서,攴,칠 복,11,3급,서
咸,다 함,口,입 구,9,3급,함
合,합할 합,口,입 구,6,6급,합
施,베풀 시,方,모 방,9,준4급,시
達,통달할 달,辵,쉬엄쉬엄갈 착,13,준4급,달
養,기를 양,食,밥/먹을 식,15,준5급,양
自,스스로 자,自,스스로 자,6,준7급,자
庭,뜰 정,广,집 엄,10,준6급,정
暢,화창할 창,日,날 일,14,3급,창
鈍,둔할 둔,金,쇠 금|성 김,12,3급,둔
憂,근심 우,心,마음 심,15,준3급,우
寄,부칠 기,宀,집 면,11,4급,기
陸,뭍 륙,阜,언덕 부,11,준5급,륙
弄,희롱할 롱,廾,받들 공,7,준3급,롱
登,오를 등,癶,등질 발,12,7급,등
肩,어깨 견,肉,고기 육,8,3급,견
洗,씻을 세,水,물 수,9,준5급,세
僚,동료 료,人,사람 인,14,3급,료
浦,개 포,水,물 수,10,준3급,포
