hanja,kor,radical,radical_name,stroke_count,level,rep_pron
稿,원고/볏짚 고,禾,벼 화,15,준3급,고
痛,아플 통,疒,병들어기댈 녁,12,4급,통
雅,맑을 아,隹,새 추,12,준3급,아
覽,볼 람,見,볼 견|뵈올 현,21,4급,람
米,쌀 미,米,쌀 미,6,6급,미
龜,거북 구|거북 귀|터질 균,龜,거북 구/귀|터질 균,16,3급,귀
壁,벽 벽,土,흙 토,16,준4급,벽
厚,두터울 후,厂,기슭 한,9,4급,후
明,밝을 명,日,날 일,8,준6급,명
彈,탄알 탄,弓,활 궁,15,4급,탄
汗,땀 한,水,물 수,6,준3급,한
位,자리 위,人,사람 인,7,5급,위
衝,찌를 충,行,다닐 행|항렬 항,15,준3급,충
部,떼 부,邑,고을 읍,11,준6급,부
倫,인륜 륜,人,사람 인,10,준3급,륜
企,꾀할 기,人,사람 인,6,준3급,기
坐,앉을 좌,土,흙 토,7,준3급,좌
嚴,엄할 엄,口,입 구,20,4급,엄
該,갖출/마땅 해,言,말씀 언,13,3급,해
弔,조상할 조,弓,활 궁,4,3급,조
仲,버금 중,人,사람 인,6,준3급,중
忘,잊을 망,心,마음 심,7,3급,망
奇,기특할 기,大,큰 대,8,4급,기
托,맡길 탁,手,손 수,6,3급,탁
答,대답 답,竹,대 죽,12,준7급,답
指,가리킬 지,手,손 수,9,준4급,지
狗,개 구,犬,개 견,8,3급,구
閑,한가할 한,門,문 문,12,4급,한
方,모 방,方,모 방,4,준7급,방
肖,닮을/같을 초,肉,고기 육,7,준3급,초
勸,권할 권,力,힘 력,20,4급,권
淨,깨끗할 정,水,물 수,11,준3급,정
署,마을 서,网,그물 망,14,준3급,서
和,화할 화,口,입 구,8,준6급,화
季,계절 계,子,아들 자,8,4급,계
成,이룰 성,戈,창 과,7,준6급,성
裂,찢어질 렬,衣,옷 의,12,준3급,렬
辰,별 진|때 신,辰,별 진|때 신,7,준3급,진
遂,드디어 수,辵,쉬엄쉬엄갈 착,13,3급,수
秋,가을 추,禾,벼 화,9,7급,추
花,꽃 화,艸,풀 초,8,7급,화
非,아닐 비,非,아닐 비,8,준4급,비
夷,오랑캐 이,大,큰 대,6,3급,이
屬,붙일 속,尸,주검 시,21,4급,속
欲,하고자할 욕,欠,하품 흠,11,준3급,욕
勇,날랠 용,力,힘 력,9,준6급,용
受,받을 수,又,또 우,8,준4급,수
夫,지아비 부,大,큰 대,4,7급,부
華,빛날 화,艸,풀 초,11,4급,화
追,쫓을/따를 추,辵,쉬엄쉬엄갈 착,10,준3급,추
待,기다릴 대,彳,조금걸을 척,9,6급,대
抗,겨룰 항,手,손 수,7,4급,항
返,돌이킬 반,辵,쉬엄쉬엄갈 착,8,3급,반
知,알 지,矢,화살 시,8,준5급,지
全,온전 전,入,들 입,6,준7급,전
僅,겨우 근,人,사람 인,13,3급,근
竹,대 죽,竹,대 죽,6,준4급,죽
芽,싹 아,艸,풀 초,8,준3급,아
妙,묘할 묘,女,계집 녀,7,4급,묘
順,순할 순,頁,머리 혈,12,준5급,순
歎,탄식할 탄,欠,하품 흠,15,4급,탄
索,찾을 색|노 삭,糸,실 사|가는실 멱,10,준3급,색
宰,재상 재,宀,집 면,10,3급,재
皇,임금 황,白,흰 백,9,준3급,황
衡,저울대 형,行,다닐 행|항렬 항,16,준3급,형
躍,뛸 약,足,발 족 / 족할 족,21,3급,약
悔,뉘우칠 회,心,마음 심,10,준3급,회
敎,가르칠 교,攴,칠 복,11,8급,교
技,재주 기,手,손 수,7,5급,기
利,이할 리,刀,칼 도,7,준6급,리
羽,깃 우,羽,깃 우,6,준3급,우
浮,뜰 부,水,물 수,10,준3급,부
象,코끼리 상,豕,돼지 시,12,4급,상
仁,어질 인,人,사람 인,4,4급,인
格,격식 격,木,나무 목,10,준5급,격
派,갈래 파,水,물 수,9,4급,파
輸,보낼 수,車,수레 거/차,16,준3급,수
殘,남을 잔,歹,뼈앙상할 알|나쁠 대,12,4급,잔
丹,붉을 단,丶,점 주,4,준3급,단
劍,칼 검,刀,칼 도,15,준3급,검
肝,간 간,肉,고기 육,7,준3급,간
況,상황 황,水,물 수,8,4급,황
飯,밥 반,食,밥/먹을 식,13,준3급,반
障,막을 장,阜,언덕 부,14,준4급,장
怠,게으를 태,心,마음 심,9,3급,태
響,울릴 향,音,소리 음,22,준3급,향
莊,씩씩할 장,艸,풀 초,11,준3급,장
面,낯 면,面,낯 면,9,7급,면
億,억 억,人,사람 인,15,5급,억
鶴,학 학,鳥,새 조,21,준3급,학
或,혹 혹,戈,창 과,8,4급,혹
露,이슬 로,雨,비 우,21,준3급,로
板,널 판,木,나무 목,8,5급,판
祈,빌 기,示,보일 시,9,준3급,기
付,부칠 부,人,사람 인,5,준3급,부
枝,가지 지,木,나무 목,8,준3급,지
凝,엉길 응,冫,얼음 빙,16,3급,응
液,진 액,水,물 수,11,준4급,액
之,갈 지,丿,삐침 별,4,준3급,지
健,굳셀 건,人,사람 인,11,5급,건
