hanja,kor,radical,radical_name,stroke_count,level,rep_pron
午,낮 오,十,열 십,4,준7급,오
宜,마땅 의,宀,집 면,8,3급,의
忍,참을 인,心,마음 심,7,준3급,인
富,부자 부,宀,집 면,12,준4급,부
銘,새길 명,金,쇠 금|성 김,14,준3급,명
祕,숨길 비,示,보일 시,10,4급,비
票,표 표,示,보일 시,11,준4급,표
口,입 구,口,입 구,3,7급,구
禾,벼 화,禾,벼 화,5,3급,화
郭,둘레/외성 곽,邑,고을 읍,11,3급,곽
期,기약할 기,月,달 월,12,5급,기
拂,떨칠 불,手,손 수,8,준3급,불
含,머금을 함,口,입 구,7,준3급,함
閉,닫을 폐,門,문 문,11,4급,폐
物,물건 물,牛,소 우,8,준7급,물
獨,홀로 독,犬,개 견,16,준5급,독
姑,시어미 고,女,계집 녀,8,준3급,고
却,물리칠 각,卩,병부 절,7,3급,각
番,차례 번,田,밭 전,12,6급,번
剛,굳셀 강,刀,칼 도,10,준3급,강
理,다스릴 리,玉,구슬 옥,11,준6급,리
矯,바로잡을 교,矢,화살 시,17,3급,교
政,정사 정,攴,칠 복,9,준4급,정
感,느낄 감,心,마음 심,13,6급,감
懸,달 현,心,마음 심,20,준3급,현
替,바꿀 체,曰,가로 왈,12,3급,체
貌,모양 모,豸,벌레 치,14,준3급,모
緣,인연 연,糸,실 사|가는실 멱,15,4급,연
木,나무 목,木,나무 목,4,8급,목
批,비평할 비,手,손 수,7,4급,비
發,필 발,癶,등질 발,12,준6급,발
柱,기둥 주,木,나무 목,9,준3급,주
送,보낼 송,辵,쉬엄쉬엄갈 착,10,준4급,송
字,글자 자,子,아들 자,6,7급,자
也,이끼/어조사 야,乙,둘째 천간 을,3,3급,야
爐,화로 로,火,불 화,20,준3급,로
下,아래 하,一,한 일,3,준7급,하
嗚,슬플 오,口,입 구,13,3급,오
隊,무리 대,阜,언덕 부,12,준4급,대
舊,예 구,臼,절구 구,18,준5급,구
攻,칠 공,攴,칠 복,7,4급,공
畫,그림 화|그을 획,田,밭 전,12,6급,화
飜,번역할 번,飛,날 비,21,3급,번
懷,품을 회,心,마음 심,19,준3급,회
試,시험 시,言,말씀 언,13,준4급,시
皆,다 개,白,흰 백,9,3급,개
吟,읊을 음,口,입 구,7,3급,음
綠,푸를 록,糸,실 사|가는실 멱,14,6급,록
相,서로 상,目,눈 목,9,준5급,상
默,잠잠할 묵,黑,검을 흑,16,준3급,묵
態,모습 태,心,마음 심,14,준4급,태
計,셀 계,言,말씀 언,9,준6급,계
偶,짝 우,人,사람 인,11,준3급,우
招,부를 초,手,손 수,8,4급,초
覆,덮을 부|다시 복,襾,덮을 아,18,준3급,부
新,새 신,斤,근/날 근,13,준6급,신
靜,고요할 정,靑,푸를 청,16,4급,정
似,닮을 사,人,사람 인,7,3급,사
汝,너 여,水,물 수,6,3급,여
慨,슬퍼할 개,心,마음 심,14,3급,개
哲,밝을 철,口,입 구,10,준3급,철
乳,젖 유,乙,둘째 천간 을,8,4급,유
永,길 영,水,물 수,5,6급,영
稚,어릴 치,禾,벼 화,13,준3급,치
序,차례 서,广,집 엄,7,5급,서
拘,잡을 구,手,손 수,8,준3급,구
沒,빠질 몰,水,물 수,7,준3급,몰
願,원할 원,頁,머리 혈,19,5급,원
擇,가릴 택,手,손 수,16,4급,택
賃,품삯 임,貝,조개 패,13,준3급,임
連,이을 련,辵,쉬엄쉬엄갈 착,11,준4급,련
癸,북방/천간 계,癶,등질 발,9,3급,계
銅,구리 동,金,쇠 금|성 김,14,준4급,동
愁,근심 수,心,마음 심,13,준3급,수
娛,즐길 오,女,계집 녀,10,3급,오
割,벨 할,刀,칼 도,12,준3급,할
觸,닿을 촉,角,뿔 각,20,준3급,촉
燈,등 등,火,불 화,16,준4급,등
鑄,쇠불릴 주,金,쇠 금|성 김,22,준3급,주
愧,부끄러울 괴,心,마음 심,13,3급,괴
八,여덟 팔,八,여덟 팔,2,8급,팔
仰,우러를 앙,人,사람 인,6,준3급,앙
禮,예도 례,示,보일 시,18,6급,례
攝,다스릴/잡을 섭,手,손 수,21,3급,섭
射,쏠 사,寸,마디 촌,10,4급,사
形,모양 형,彡,터럭 삼,7,준6급,형
文,글월 문,文,글월 문,4,7급,문
姿,모양 자,女,계집 녀,9,4급,자
滯,막힐 체,水,물 수,14,준3급,체
瓦,기와 와,瓦,기와 와,5,준3급,와
愈,나을 유,心,마음 심,13,3급,유
混,섞일 혼,水,물 수,11,4급,혼
蒙,어두울 몽,艸,풀 초,14,준3급,몽
舟,배 주,舟,배 주,6,3급,주
唯,오직 유,口,입 구,11,3급,유
於,어조사 어|탄식할 오,方,모 방,8,3급,어
繼,이을 계,糸,실 사|가는실 멱,20,4급,계
卷,책 권,卩,병부 절,8,4급,권
監,볼 감,皿,그릇 명,14,준4급,감
館,집 관,食,밥/먹을 식,17,준3급,관
