hanja,kor,radical,radical_name,stroke_count,level,rep_pron
菌,버섯 균,艸,풀 초,12,준3급,균
止,그칠 지,止,그칠 지,4,5급,지
産,낳을 산,生,날 생,11,준5급,산
結,맺을 결,糸,실 사|가는실 멱,12,준5급,결
繫,맬 계,糸,실 사|가는실 멱,19,3급,계
及,미칠 급,又,또 우,4,준3급,급
偏,치우칠 편,人,사람 인,11,준3급,편
心,마음 심,心,마음 심,4,7급,심
懇,간절할 간,心,마음 심,17,준3급,간
廉,청렴할 렴,广,집 엄,13,3급,렴
環,고리 환,玉,구슬 옥,17,4급,환
苗,모 묘,艸,풀 초,9,3급,묘
別,다를/나눌 별,刀,칼 도,7,6급,별
七,일곱 칠,一,한 일,2,8급,칠
顔,낯 안,頁,머리 혈,18,준3급,안
崩,무너질 붕,山,메 산,11,3급,붕
提,끌 제,手,손 수,12,준4급,제
史,사기 사,口,입 구,5,준5급,사
其,그 기,八,여덟 팔,8,준3급,기
設,베풀 설,言,말씀 언,11,준4급,설
削,깎을 삭,刀,칼 도,9,준3급,삭
劇,심할 극,刀,칼 도,15,4급,극
梁,들보/돌다리 량,木,나무 목,11,준3급,량
領,거느릴 령,頁,머리 혈,14,5급,령
謙,겸손할 겸,言,말씀 언,17,준3급,겸
郵,우편 우,邑,고을 읍,11,4급,우
柔,부드러울 유,木,나무 목,9,준3급,유
廣,넓을 광,广,집 엄,15,준5급,광
劣,못할 렬,力,힘 력,6,3급,렬
禍,재앙 화,示,보일 시,14,준3급,화
鹽,소금 염,鹵,개펄 로,24,준3급,염
判,판단할 판,刀,칼 도,7,4급,판
涉,건널 섭,水,물 수,10,3급,섭
冒,무릅쓸 모,冂,멀 경,9,3급,모
補,기울 보,衣,옷 의,12,준3급,보
章,글 장,立,설 립,11,6급,장
把,잡을 파,手,손 수,7,3급,파
屛,병풍 병,尸,주검 시,11,3급,병
優,넉넉할 우,人,사람 인,17,4급,우
賓,손 빈,貝,조개 패,14,3급,빈
波,물결 파,水,물 수,8,준4급,파
滴,물방울 적,水,물 수,14,3급,적
歸,돌아갈 귀,止,그칠 지,18,4급,귀
帶,띠 대,巾,수건 건,11,준4급,대
哭,울 곡,口,입 구,10,준3급,곡
的,과녁 적,白,흰 백,8,준5급,적
間,사이 간,門,문 문,12,준7급,간
植,심을 식,木,나무 목,12,7급,식
險,험할 험,阜,언덕 부,16,4급,험
播,뿌릴 파,手,손 수,15,3급,파
陷,빠질 함,阜,언덕 부,11,준3급,함
意,뜻 의,心,마음 심,13,준6급,의
堅,굳을 견,土,흙 토,11,4급,견
軟,연할 연,車,수레 거/차,11,준3급,연
漢,한수/한나라 한,水,물 수,14,준7급,한
晴,갤 청,日,날 일,12,3급,청
專,오로지 전,寸,마디 촌,11,4급,전
葬,장사지낼 장,艸,풀 초,13,준3급,장
白,흰 백,白,흰 백,5,8급,백
寡,적을 과,宀,집 면,14,준3급,과
援,도울 원,手,손 수,12,4급,원
森,수풀 삼,木,나무 목,12,준3급,삼
繁,번성할 번,糸,실 사|가는실 멱,17,준3급,번
宙,집 주,宀,집 면,8,준3급,주
愼,삼갈 신,心,마음 심,13,준3급,신
憤,분할 분,心,마음 심,15,4급,분
民,백성 민,氏,각시/성씨 씨,5,8급,민
姦,간음할 간,女,계집 녀,9,3급,간
依,의지할 의,人,사람 인,8,4급,의
畏,두려워할 외,田,밭 전,9,3급,외
頂,정수리 정,頁,머리 혈,11,준3급,정
一,한 일,一,한 일,1,8급,일
隷,종 례,隶,미칠 이/대,16,3급,례
賞,상줄 상,貝,조개 패,15,5급,상
風,바람 풍,風,바람 풍,9,준6급,풍
講,욀 강,言,말씀 언,17,준4급,강
臥,누울 와,臣,신하 신,8,3급,와
誠,정성 성,言,말씀 언,14,준4급,성
且,또 차,一,한 일,5,3급,차
內,안 내,入,들 입,4,준7급,내
忽,갑자기 홀,心,마음 심,8,준3급,홀
脈,줄기 맥,肉,고기 육,10,준4급,맥
洋,큰바다 양,水,물 수,9,6급,양
德,큰 덕,彳,조금걸을 척,15,준5급,덕
弊,폐단/해질 폐,廾,받들 공,15,준3급,폐
漸,점점 점,水,물 수,14,준3급,점
支,지탱할 지,支,지탱할 지,4,준4급,지
墮,떨어질 타,土,흙 토,15,3급,타
革,가죽 혁,革,가죽 혁,9,4급,혁
出,날 출,凵,입벌릴 감,5,7급,출
鬼,귀신 귀,鬼,귀신 귀,10,준3급,귀
線,줄 선,糸,실 사|가는실 멱,15,준6급,선
父,아비 부,父,아비 부,4,8급,부
販,팔 판,貝,조개 패,11,3급,판
備,갖출 비,人,사람 인,12,준4급,비
春,봄 춘,日,날 일,9,7급,춘
耶,어조사 야,耳,귀 이,9,3급,야
潤,불을 윤,水,물 수,15,준3급,윤
典,법 전,八,여덟 팔,8,준5급,전
醉,취할 취,酉,닭 유,15,준3급,취
