hanja,kor,radical,radical_name,stroke_count,level,rep_pron
娘,계집 낭,女,계집 녀,10,준3급,랑
黨,무리 당,黑,검을 흑,20,준4급,당
賦,부세 부,貝,조개 패,15,준3급,부
而,말이을 이,而,말이을 이,6,3급,이
電,번개 전,雨,비 우,13,준7급,전
走,달릴 주,走,달릴 주,7,준4급,주
安,편안 안,宀,집 면,6,준7급,안
私,사사 사,禾,벼 화,7,4급,사
郡,고을 군,邑,고을 읍,10,6급,군
詩,시 시,言,말씀 언,13,준4급,시
刀,칼 도,刀,칼 도,2,준3급,도
旬,열흘 순,日,날 일,6,준3급,순
豊,풍년 풍,豆,콩 두,13,준4급,풍
罔,없을 망,网,그물 망,8,3급,망
源,근원 원,水,물 수,13,4급,원
贊,도울 찬,貝,조개 패,19,준3급,찬
閱,볼 열,門,문 문,15,3급,열
競,다툴 경,立,설 립,20,5급,경
涯,물가 애,水,물 수,11,3급,애
太,클 태,大,큰 대,4,6급,태
潔,깨끗할 결,水,물 수,15,준4급,결
戊,천간 무,戈,창 과,5,3급,무
債,빚 채,人,사람 인,13,준3급,채
院,집 원,阜,언덕 부,10,5급,원
塊,흙덩이 괴,土,흙 토,13,3급,괴
絃,줄 현,糸,실 사|가는실 멱,11,3급,현
叛,배반할 반,又,또 우,9,3급,반
執,잡을 집,土,흙 토,11,준3급,집
權,권세 권,木,나무 목,21,준4급,권
諒,살펴알/믿을 량,言,말씀 언,15,3급,량
屈,굽힐 굴,尸,주검 시,8,4급,굴
卑,낮을 비,十,열 십,8,준3급,비
接,이을 접,手,손 수,11,준4급,접
組,짤 조,糸,실 사|가는실 멱,11,4급,조
材,재목 재,木,나무 목,7,준5급,재
福,복 복,示,보일 시,14,준5급,복
賤,천할 천,貝,조개 패,15,준3급,천
規,법 규,見,볼 견|뵈올 현,11,5급,규
廷,조정 정,廴,길게걸을 인,7,준3급,정
科,과목 과,禾,벼 화,9,준6급,과
換,바꿀 환,手,손 수,12,준3급,환
營,경영할 영,火,불 화,17,4급,영
慕,그릴 모,心,마음 심,15,준3급,모
途,길 도,辵,쉬엄쉬엄갈 착,11,준3급,도
少,적을 소,小,작을 소,4,7급,소
映,비칠 영,日,날 일,9,4급,영
遷,옮길 천,辵,쉬엄쉬엄갈 착,15,준3급,천
緩,느릴 완,糸,실 사|가는실 멱,15,준3급,완
頻,자주 빈,頁,머리 혈,16,3급,빈
制,절제할 제,刀,칼 도,8,준4급,제
總,다 총,糸,실 사|가는실 멱,17,준4급,총
于,어조사 우,二,두 이,3,3급,우
騎,말탈 기,馬,말 마,18,준3급,기
兒,아이 아,儿,어진사람 인,8,준5급,아
讚,기릴 찬,言,말씀 언,26,4급,찬
襲,엄습할 습,衣,옷 의,22,준3급,습
難,어려울 난,隹,새 추,19,준4급,난
丑,소 축,一,한 일,4,3급,축
率,비율 률|거느릴 솔,玄,검을 현,11,준3급,률
龍,용 룡,龍,용 룡,16,4급,룡
殊,다를 수,歹,뼈앙상할 알|나쁠 대,10,준3급,수
貿,무역할 무,貝,조개 패,12,준3급,무
去,갈 거,厶,사사 사,5,5급,거
豆,콩 두,豆,콩 두,7,준4급,두
街,거리 가,行,다닐 행|항렬 항,12,준4급,가
階,섬돌 계,阜,언덕 부,12,4급,계
何,어찌 하,人,사람 인,7,준3급,하
復,회복할 복|다시 부,彳,조금걸을 척,12,준4급,복
搜,찾을 수,手,손 수,12,3급,수
丘,언덕 구,一,한 일,5,준3급,구
缺,이지러질 결,缶,장군 부,10,준4급,결
卵,알 란,卩,병부 절,7,4급,란
草,풀 초,艸,풀 초,10,7급,초
輝,빛날 휘,車,수레 거/차,15,3급,휘
農,농사 농,辰,별 진|때 신,13,준7급,농
陶,질그릇 도,阜,언덕 부,11,준3급,도
味,맛 미,口,입 구,8,준4급,미
置,둘 치,网,그물 망,13,준4급,치
煩,번거로울 번,火,불 화,13,3급,번
戀,그리워할/그릴 련,心,마음 심,23,준3급,련
閏,윤달 윤,門,문 문,12,3급,윤
豫,미리 예,豕,돼지 시,16,4급,예
巳,뱀 사,己,몸 기,3,3급,사
荒,거칠 황,艸,풀 초,10,준3급,황
傳,전할 전,人,사람 인,13,준5급,전
篤,도타울 독,竹,대 죽,16,3급,독
謝,사례할 사,言,말씀 언,17,준4급,사
垂,드리울 수,土,흙 토,8,준3급,수
鍾,쇠북 종,金,쇠 금|성 김,17,4급,종
肺,허파 폐,肉,고기 육,8,준3급,폐
霧,안개 무,雨,비 우,19,3급,무
泣,울 읍,水,물 수,8,3급,읍
弘,클 홍,弓,활 궁,5,3급,홍
族,겨레 족,方,모 방,11,6급,족
鼻,코 비,鼻,코 비,14,5급,비
藏,감출 장,艸,풀 초,18,준3급,장
隆,높을 륭,阜,언덕 부,12,준3급,륭
量,헤아릴 량,里,마을 리,12,5급,량
張,베풀 장,弓,활 궁,11,4급,장
昔,예 석,日,날 일,8,3급,석
