hanja,kor,radical,radical_name,stroke_count,level,rep_pron
寺,절 사,寸,마디 촌,6,준4급,사
律,법칙 률,彳,조금걸을 척,9,준4급,률
洞,골 동|밝을 통,水,물 수,9,7급,동
飛,날 비,飛,날 비,9,준4급,비
影,그림자 영,彡,터럭 삼,15,준3급,영
譽,기릴/명예 예,言,말씀 언,21,준3급,예
魂,넋 혼,鬼,귀신 귀,14,준3급,혼
踐,밟을 천,足,발 족 / 족할 족,15,준3급,천
賜,줄 사,貝,조개 패,15,3급,사
儉,검소할 검,人,사람 인,15,4급,검
鳥,새 조,鳥,새 조,11,준4급,조
拾,주울 습|열 십,手,손 수,9,준3급,습
荷,멜 하,艸,풀 초,11,준3급,하
照,비칠 조,火,불 화,13,준3급,조
橋,다리 교,木,나무 목,16,5급,교
淚,눈물 루,水,물 수,11,3급,루
正,바를 정,止,그칠 지,5,준7급,정
貞,곧을 정,貝,조개 패,9,준3급,정
危,위태할 위,卩,병부 절,6,4급,위
寫,베낄 사,宀,집 면,15,5급,사
女,계집 녀,女,계집 녀,3,8급,녀
獎,장려할 장,犬,개 견,15,4급,장
盛,성할 성,皿,그릇 명,12,준4급,성
昭,밝을 소,日,날 일,9,3급,소
粧,단장할 장,米,쌀 미,12,준3급,장
卿,벼슬 경,卩,병부 절,12,3급,경
杯,잔 배,木,나무 목,8,3급,배
選,가릴 선,辵,쉬엄쉬엄갈 착,16,5급,선
川,내 천,巛,내 천,3,7급,천
莫,없을 막,艸,풀 초,11,준3급,막
尖,뾰족할 첨,小,작을 소,6,3급,첨
具,갖출 구,八,여덟 팔,8,준5급,구
迎,맞을 영,辵,쉬엄쉬엄갈 착,8,4급,영
臺,대 대,至,이를 지,14,준3급,대
松,소나무 송,木,나무 목,8,4급,송
拙,졸할 졸,手,손 수,8,3급,졸
曾,일찍 증,曰,가로 왈,12,준3급,증
媒,중매 매,女,계집 녀,12,준3급,매
余,나 여,人,사람 인,7,3급,여
奔,달릴 분,大,큰 대,8,준3급,분
如,같을 여,女,계집 녀,6,준4급,여
怒,성낼 노,心,마음 심,9,준4급,노
十,열 십,十,열 십,2,8급,십
吉,길할 길,口,입 구,6,5급,길
愛,사랑 애,心,마음 심,13,6급,애
版,판목 판,片,조각 편,8,준3급,판
屯,진칠 둔,屮,싹날 철,4,3급,둔
兮,어조사 혜,八,여덟 팔,4,3급,혜
卒,마칠 졸,十,열 십,8,준5급,졸
降,내릴 강|항복할 항,阜,언덕 부,9,4급,강
防,막을 방,阜,언덕 부,7,준4급,방
征,칠 정,彳,조금걸을 척,8,준3급,정
臨,임할 림,臣,신하 신,17,준3급,림
亨,형통할 형,亠,돼지해머리 두,7,3급,형
氣,기운 기,气,기운 기,10,준7급,기
泳,헤엄칠 영,水,물 수,8,3급,영
卽,곧 즉,卩,병부 절,9,준3급,즉
肅,엄숙할 숙,聿,붓 율,13,4급,숙
在,있을 재,土,흙 토,6,6급,재
冬,겨울 동,冫,얼음 빙,5,7급,동
久,오랠 구,丿,삐침 별,3,준3급,구
菊,국화 국,艸,풀 초,12,준3급,국
苟,진실로/구차할 구,艸,풀 초,9,3급,구
貯,쌓을 저,貝,조개 패,12,5급,저
祿,녹 록,示,보일 시,13,준3급,록
果,실과 과,木,나무 목,8,준6급,과
聲,소리 성,耳,귀 이,17,준4급,성
損,덜 손,手,손 수,13,4급,손
以,써 이,人,사람 인,5,준5급,이
幣,화폐 폐,巾,수건 건,15,3급,폐
氏,각시/성씨 씨,氏,각시/성씨 씨,4,4급,씨
芳,꽃다울 방,艸,풀 초,8,준3급,방
士,선비 사,士,선비 사,3,준5급,사
未,아닐 미,木,나무 목,5,준4급,미
蜜,꿀 밀,虫,벌레 훼,14,3급,밀
好,좋을 호,女,계집 녀,6,준4급,호
首,머리 수,首,머리 수,9,준5급,수
殆,거의 태,歹,뼈앙상할 알|나쁠 대,9,준3급,태
曰,가로 왈,曰,가로 왈,4,3급,왈
驛,역 역,馬,말 마,23,준3급,역
放,놓을 방,攴,칠 복,8,준6급,방
各,각각 각,口,입 구,6,준6급,각
亂,어지러울 란,乙,둘째 천간 을,13,4급,란
孟,맏 맹,子,아들 자,8,준3급,맹
熱,더울 열,火,불 화,15,5급,열
耐,견딜 내,而,말이을 이,9,준3급,내
忌,꺼릴 기,心,마음 심,7,3급,기
五,다섯 오,二,두 이,4,8급,오
已,이미 이,己,몸 기,3,준3급,이
王,임금 왕,玉,구슬 옥,4,8급,왕
寬,너그러울 관,宀,집 면,15,준3급,관
洪,넓을 홍,水,물 수,9,준3급,홍
巷,거리 항,己,몸 기,9,3급,항
末,끝 말,木,나무 목,5,5급,말
勝,이길 승,力,힘 력,12,6급,승
樂,즐길 락|노래 악|좋아할 요,木,나무 목,15,준6급,락
婦,며느리 부,女,계집 녀,11,준4급,부
秒,분초 초,禾,벼 화,9,3급,초
獵,사냥 렵,犬,개 견,18,3급,렵
憫,민망할 민,心,마음 심,15,3급,민
