hanja,kor,radical,radical_name,stroke_count,level,rep_pron
哀,슬플 애,口,입 구,9,준3급,애
孰,누구 숙,子,아들 자,11,3급,숙
金,쇠 금|성 김,金,쇠 금|성 김,8,8급,금
息,쉴 식,心,마음 심,10,준4급,식
徹,통할 철,彳,조금걸을 척,15,준3급,철
家,집 가,宀,집 면,10,준7급,가
殺,죽일 살|감할/빠를 쇄,殳,창 수,11,준4급,살
驅,몰 구,馬,말 마,21,3급,구
吸,마실 흡,口,입 구,7,준4급,흡
景,볕 경,日,날 일,12,5급,경
兵,병사 병,八,여덟 팔,7,준5급,병
弟,아우 제,弓,활 궁,7,8급,제
戰,싸움 전,戈,창 과,16,준6급,전
空,빌 공,穴,굴 혈,8,준7급,공
歲,해 세,止,그칠 지,13,준5급,세
軍,군사 군,車,수레 거/차,9,8급,군
淑,맑을 숙,水,물 수,11,준3급,숙
居,살 거,尸,주검 시,8,4급,거
系,이어맬 계,糸,실 사|가는실 멱,7,4급,계
脫,벗을 탈,肉,고기 육,11,4급,탈
關,관계할 관,門,문 문,19,준5급,관
激,격할 격,水,물 수,16,4급,격
第,차례 제,竹,대 죽,11,준6급,제
雜,섞일 잡,隹,새 추,18,4급,잡
己,몸 기,己,몸 기,3,준5급,기
強,강할 강,弓,활 궁,11,6급,강
對,대할 대,寸,마디 촌,14,준6급,대
絡,이을/얽을 락,糸,실 사|가는실 멱,12,준3급,락
目,눈 목,目,눈 목,5,6급,목
逮,잡을 체,辵,쉬엄쉬엄갈 착,12,3급,체
貧,가난할 빈,貝,조개 패,11,준4급,빈
詞,말/글 사,言,말씀 언,12,준3급,사
糧,양식 량,米,쌀 미,18,4급,량
哉,어조사 재,口,입 구,9,3급,재
寸,마디 촌,寸,마디 촌,3,8급,촌
盲,소경/눈멀 맹,目,눈 목,8,준3급,맹
河,물 하,水,물 수,8,5급,하
保,지킬 보,人,사람 인,9,준4급,보
那,어찌 나,邑,고을 읍,7,3급,나
敢,감히/구태여 감,攴,칠 복,12,4급,감
渴,목마를 갈,水,물 수,12,3급,갈
買,살 매,貝,조개 패,12,5급,매
株,그루 주,木,나무 목,10,준3급,주
壓,누를 압,土,흙 토,17,준4급,압
由,말미암을 유,田,밭 전,5,6급,유
蓋,덮을 개,艸,풀 초,14,준3급,개
局,판 국,尸,주검 시,7,준5급,국
戚,친척 척,戈,창 과,11,준3급,척
徑,지름길/길 경,彳,조금걸을 척,10,준3급,경
恕,용서할 서,心,마음 심,10,준3급,서
墻,담 장,土,흙 토,16,3급,장
紙,종이 지,糸,실 사|가는실 멱,10,7급,지
友,벗 우,又,또 우,4,준5급,우
閣,집 각,門,문 문,14,준3급,각
夕,저녁 석,夕,저녁 석,3,7급,석
潛,잠길 잠,水,물 수,15,준3급,잠
都,도읍 도,邑,고을 읍,12,5급,도
交,사귈 교,亠,돼지해머리 두,6,6급,교
驚,놀랄 경,馬,말 마,23,4급,경
聯,연이을 련,耳,귀 이,17,준3급,련
聰,귀밝을 총,耳,귀 이,17,3급,총
圖,그림 도,囗,에워쌀 위|나라 국,14,준6급,도
魚,고기/물고기 어,魚,고기/물고기 어,11,5급,어
層,층 층,尸,주검 시,15,4급,층
浴,목욕할 욕,水,물 수,10,5급,욕
頭,머리 두,頁,머리 혈,16,6급,두
避,피할 피,辵,쉬엄쉬엄갈 착,17,4급,피
異,다를 이,田,밭 전,11,4급,이
吐,토할 토,口,입 구,6,준3급,토
坤,땅 곤,土,흙 토,8,3급,곤
孝,효도 효,子,아들 자,7,준7급,효
玆,이 자,玄,검을 현,10,3급,자
抱,안을 포,手,손 수,8,3급,포
附,붙을 부,阜,언덕 부,8,준3급,부
寅,범/동방 인,宀,집 면,11,3급,인
誌,기록할 지,言,말씀 언,14,4급,지
樓,다락 루,木,나무 목,15,준3급,루
鄕,시골 향,邑,고을 읍,13,준4급,향
奏,아뢸 주,大,큰 대,9,준3급,주
探,찾을 탐,手,손 수,11,4급,탐
竝,나란히 병,立,설 립,10,3급,병
違,어긋날 위,辵,쉬엄쉬엄갈 착,13,3급,위
刊,새길 간,刀,칼 도,5,준3급,간
訴,호소할 소,言,말씀 언,12,준3급,소
喪,잃을 상,口,입 구,12,준3급,상
騰,오를 등,馬,말 마,20,3급,등
雄,수컷 웅,隹,새 추,12,5급,웅
栽,심을 재,木,나무 목,10,준3급,재
諸,모두 제,言,말씀 언,16,준3급,제
廊,사랑채/행랑 랑,广,집 엄,13,준3급,랑
公,공평할 공,八,여덟 팔,4,준6급,공
錦,비단 금,金,쇠 금|성 김,16,준3급,금
梨,배 리,木,나무 목,11,3급,리
峯,봉우리 봉,山,메 산,10,준3급,봉
級,등급 급,糸,실 사|가는실 멱,10,6급,급
燭,촛불 촉,火,불 화,17,3급,촉
佳,아름다울 가,人,사람 인,8,준3급,가
朴,성 박,木,나무 목,6,6급,박
船,배 선,舟,배 주,11,5급,선
俱,함께 구,人,사람 인,10,3급,구
