hanja,kor,radical,radical_name,stroke_count,level,rep_pron
忠,충성 충,心,마음 심,8,준4급,충
假,거짓 가,人,사람 인,11,준4급,가
軒,집 헌,車,수레 거/차,10,3급,헌
銀,은 은,金,쇠 금|성 김,14,6급,은
泰,클 태,水,물 수,10,준3급,태
年,해 년,干,방패 간,6,8급,년
凶,흉할 흉,凵,입벌릴 감,4,준5급,흉
災,재앙 재,火,불 화,7,5급,재
逸,편안할 일,辵,쉬엄쉬엄갈 착,12,준3급,일
配,나눌/짝 배,酉,닭 유,10,준4급,배
可,옳을 가,口,입 구,5,5급,가
染,물들 염,木,나무 목,9,준3급,염
震,우레 진,雨,비 우,15,준3급,진
題,제목 제,頁,머리 혈,18,준6급,제
客,손 객,宀,집 면,9,준5급,객
田,밭 전,田,밭 전,5,준4급,전
圍,에워쌀 위,囗,에워쌀 위|나라 국,12,4급,위
姓,성 성,女,계집 녀,8,준7급,성
揚,날릴 양,手,손 수,12,준3급,양
蒸,찔 증,艸,풀 초,14,준3급,증
遵,좇을 준,辵,쉬엄쉬엄갈 착,16,3급,준
蹟,자취 적,足,발 족 / 족할 족,18,준3급,적
籍,문서 적,竹,대 죽,20,4급,적
越,넘을 월,走,달릴 주,12,준3급,월
裝,꾸밀 장,衣,옷 의,13,4급,장
淸,맑을 청,水,물 수,11,준6급,청
導,인도할 도,寸,마디 촌,16,준4급,도
憶,생각할 억,心,마음 심,16,준3급,억
暮,저물 모,日,날 일,15,3급,모
隣,이웃 린,阜,언덕 부,15,3급,린
享,누릴 향,亠,돼지해머리 두,8,3급,향
刑,형벌 형,刀,칼 도,6,4급,형
罰,벌할 벌,网,그물 망,14,준4급,벌
透,사무칠 투,辵,쉬엄쉬엄갈 착,11,준3급,투
月,달 월,月,달 월,4,8급,월
僧,중 승,人,사람 인,14,준3급,승
架,시렁 가,木,나무 목,9,준3급,가
聖,성인 성,耳,귀 이,13,준4급,성
扶,도울 부,手,손 수,7,준3급,부
入,들 입,入,들 입,2,7급,입
妃,왕비 비,女,계집 녀,6,준3급,비
虛,빌 허,虍,호피무늬 호,12,준4급,허
境,지경 경,土,흙 토,14,준4급,경
漏,샐 루,水,물 수,14,준3급,루
析,쪼갤 석,木,나무 목,8,3급,석
委,맡길 위,女,계집 녀,8,4급,위
黑,검을 흑,黑,검을 흑,12,5급,흑
巨,클 거,工,장인 공,5,4급,거
比,견줄 비,比,견줄 비,4,5급,비
賢,어질 현,貝,조개 패,15,준4급,현
夜,밤 야,夕,저녁 석,8,6급,야
漆,옻 칠,水,물 수,14,준3급,칠
是,이/옳을 시,日,날 일,9,준4급,시
厄,액 액,厂,기슭 한,4,3급,액
殉,따라죽을 순,歹,뼈앙상할 알|나쁠 대,10,3급,순
憲,법 헌,心,마음 심,16,4급,헌
卜,점 복,卜,점 복,2,3급,복
疫,전염병 역,疒,병들어기댈 녁,9,준3급,역
腸,창자 장,肉,고기 육,13,4급,장
管,대롱/주관할 관,竹,대 죽,14,4급,관
包,쌀 포,勹,쌀 포,5,준4급,포
琴,거문고 금,玉,구슬 옥,12,준3급,금
柳,버들 류,木,나무 목,9,4급,류
谷,골 곡,谷,골 곡,7,준3급,곡
靈,신령 령,雨,비 우,24,준3급,령
法,법 법,水,물 수,8,준5급,법
姪,조카 질,女,계집 녀,9,3급,질
遍,두루 편,辵,쉬엄쉬엄갈 착,13,3급,편
世,인간 세,一,한 일,5,준7급,세
殿,전각 전,殳,창 수,13,준3급,전
火,불 화,火,불 화,4,8급,화
斜,비낄 사,斗,말 두,11,준3급,사
厥,그 궐,厂,기슭 한,12,3급,궐
鑑,거울 감,金,쇠 금|성 김,22,준3급,감
齊,가지런할 제,齊,가지런할 제,14,준3급,제
飽,배부를 포,食,밥/먹을 식,14,3급,포
留,머무를 류,田,밭 전,10,준4급,류
憎,미울 증,心,마음 심,15,준3급,증
著,나타날 저,艸,풀 초,13,준3급,저
念,생각 념,心,마음 심,8,준5급,념
室,집 실,宀,집 면,9,8급,실
拔,뽑을 발,手,손 수,8,준3급,발
急,급할 급,心,마음 심,9,준6급,급
宣,베풀 선,宀,집 면,9,4급,선
京,서울 경,亠,돼지해머리 두,8,6급,경
簡,대쪽/간략할 간,竹,대 죽,18,4급,간
濫,넘칠 람,水,물 수,17,3급,람
效,본받을 효,攴,칠 복,10,준5급,효
趣,뜻 취,走,달릴 주,15,4급,취
錄,기록할 록,金,쇠 금|성 김,16,준4급,록
辭,말씀 사,辛,매울 신,19,4급,사
九,아홉 구,乙,둘째 천간 을,2,8급,구
壞,무너질 괴,土,흙 토,19,준3급,괴
絹,비단 견,糸,실 사|가는실 멱,13,3급,견
減,덜 감,水,물 수,12,준4급,감
純,순수할 순,糸,실 사|가는실 멱,10,준4급,순
禽,새 금,禸,발자국 유,13,준3급,금
城,재 성,土,흙 토,10,준4급,성
北,북녘 북|달아날 배,匕,비수 비,5,8급,북
特,특별할 특,牛,소 우,10,6급,특
