hanja,kor,radical,radical_name,stroke_count,level,rep_pron
浪,물결 랑,水,물 수,10,준3급,랑
移,옮길 이,禾,벼 화,11,준4급,이
協,화할 협,十,열 십,8,준4급,협
惑,미혹할 혹,心,마음 심,12,준3급,혹
償,갚을 상,人,사람 인,17,준3급,상
蔽,덮을 폐,艸,풀 초,16,3급,폐
近,가까울 근,辵,쉬엄쉬엄갈 착,8,6급,근
訣,이별할 결,言,말씀 언,11,준3급,결
彩,채색 채,彡,터럭 삼,11,준3급,채
祀,제사 사,示,보일 시,8,준3급,사
壽,목숨 수,士,선비 사,14,준3급,수
語,말씀 어,言,말씀 언,14,7급,어
雙,두 쌍,隹,새 추,18,준3급,쌍
車,수레 거|수레 차,車,수레 거/차,7,준7급,차
藝,재주 예,艸,풀 초,19,준4급,예
泉,샘 천,水,물 수,9,4급,천
日,날 일,日,날 일,4,8급,일
加,더할 가,力,힘 력,5,5급,가
槪,대개 개,木,나무 목,15,준3급,개
村,마을 촌,木,나무 목,7,7급,촌
土,흙 토,土,흙 토,3,8급,토
窮,다할/궁할 궁,穴,굴 혈,15,4급,궁
腹,배 복,肉,고기 육,13,준3급,복
脣,입술 순,肉,고기 육,11,3급,순
分,나눌 분,刀,칼 도,4,준6급,분
喜,기쁠 희,口,입 구,12,4급,희
漁,고기잡을 어,水,물 수,14,5급,어
精,정할 정,米,쌀 미,14,준4급,정
茶,차 다|차 차,艸,풀 초,10,준3급,차
蓮,연꽃 련,艸,풀 초,15,준3급,련
共,한가지 공,八,여덟 팔,6,준6급,공
虎,범 호,虍,호피무늬 호,8,준3급,호
秩,차례 질,禾,벼 화,10,준3급,질
謹,삼갈 근,言,말씀 언,18,3급,근
逐,쫓을 축,辵,쉬엄쉬엄갈 착,11,3급,축
宗,마루 종,宀,집 면,8,준4급,종
紅,붉을 홍,糸,실 사|가는실 멱,9,4급,홍
萬,일만 만,艸,풀 초,13,8급,만
遺,남길 유,辵,쉬엄쉬엄갈 착,16,4급,유
早,이를 조,日,날 일,6,준4급,조
築,쌓을 축,竹,대 죽,16,준4급,축
尤,더욱 우,尢,절름발이 왕,4,3급,우
右,오를/오른(쪽) 우,口,입 구,5,준7급,우
抑,누를 억,手,손 수,7,준3급,억
疾,병 질,疒,병들어기댈 녁,10,준3급,질
誘,꾈 유,言,말씀 언,14,준3급,유
社,모일 사,示,보일 시,8,준6급,사
雲,구름 운,雨,비 우,12,준5급,운
屢,여러 루,尸,주검 시,14,3급,루
宮,집 궁,宀,집 면,10,준4급,궁
禪,선 선,示,보일 시,17,준3급,선
曜,빛날 요,日,날 일,18,5급,요
捨,버릴 사,手,손 수,11,3급,사
察,살필 찰,宀,집 면,14,준4급,찰
晝,낮 주,日,날 일,11,6급,주
江,강 강,水,물 수,6,준7급,강
逆,거스릴 역,辵,쉬엄쉬엄갈 착,10,준4급,역
凡,무릇 범,几,안석 궤,3,준3급,범
飮,마실 음,食,밥/먹을 식,13,준6급,음
貫,꿸 관,貝,조개 패,11,준3급,관
銃,총 총,金,쇠 금|성 김,14,준4급,총
初,처음 초,刀,칼 도,7,5급,초
畿,경기 기,田,밭 전,15,준3급,기
辯,말씀 변,辛,매울 신,21,4급,변
懼,두려워할 구,心,마음 심,21,3급,구
勢,형세 세,力,힘 력,13,준4급,세
樹,나무 수,木,나무 목,16,6급,수
腰,허리 요,肉,고기 육,13,3급,요
較,견줄/비교할 교,車,수레 거/차,13,준3급,교
兔,토끼 토,儿,어진사람 인,8,준3급,토
貴,귀할 귀,貝,조개 패,12,5급,귀
機,틀 기,木,나무 목,16,4급,기
述,펼 술,辵,쉬엄쉬엄갈 착,9,준3급,술
善,착할 선,口,입 구,12,5급,선
塞,막힐 색|변방 새,土,흙 토,13,준3급,색
巧,공교할 교,工,장인 공,5,준3급,교
晚,늦을 만,日,날 일,11,준3급,만
玄,검을 현,玄,검을 현,5,준3급,현
履,밟을 리,尸,주검 시,15,준3급,리
祝,빌 축,示,보일 시,10,5급,축
濟,건널 제,水,물 수,17,준4급,제
鐵,쇠 철,金,쇠 금|성 김,21,5급,철
焉,어찌 언,火,불 화,11,3급,언
均,고를 균,土,흙 토,7,4급,균
諾,허락할 낙,言,말씀 언,16,준3급,낙
裁,옷마를 재,衣,옷 의,12,준3급,재
幕,장막 막,巾,수건 건,14,준3급,막
席,자리 석,巾,수건 건,10,6급,석
牧,칠 목,牛,소 우,8,준4급,목
素,본디/흴 소,糸,실 사|가는실 멱,10,준4급,소
衛,지킬 위,行,다닐 행|항렬 항,15,준4급,위
四,넉 사,囗,에워쌀 위|나라 국,5,8급,사
祥,상서 상,示,보일 시,11,3급,상
愚,어리석을 우,心,마음 심,13,준3급,우
炎,불꽃 염,火,불 화,8,준3급,염
偉,클 위,人,사람 인,11,준5급,위
妨,방해할 방,女,계집 녀,7,4급,방
擁,낄 옹,手,손 수,16,3급,옹
掠,노략질할 략,手,손 수,11,3급,략
胞,세포 포,肉,고기 육,9,4급,포
