level,hanja,mean,pron,hms
5__,給,줄,급,줄 급
4__,季,계절,계,계절 계
7ii,內,안,내,안 내
5__,料,헤아릴,료,헤아릴 료
6ii,計,셀,계,셀 계
4ii,備,갖출,비,갖출 비
4ii,毛,터럭,모,터럭 모
4ii,伐,칠,벌,칠 벌
4ii,富,부자,부,부자 부
4__,庫,곳집,고,곳집 고
3ii,鋼,강철,강,강철 강
3ii,沙,모래,사,모래 사
3ii,盤,소반,반,소반 반
6__,開,열,개,열 개
3ii,磨,갈,마,갈 마
4__,辯,말씀,변,말씀 변
3ii,劍,칼,검,칼 검
3ii,脚,다리,각,다리 각
3ii,森,수풀,삼,수풀 삼
4ii,配,나눌/짝,배,나눌/짝 배
5__,冷,찰,랭,찰 랭
3ii,其,그,기,그 기
4__,辭,말씀,사,말씀 사
7ii,立,설,립,설 립
5__,令,하여금,령,하여금 령
3ii,啓,열,계,열 계
3ii,覆,덮을,부,덮을 부|다시 복
3ii,妄,망령될,망,망령될 망
3ii,綱,벼리,강,벼리 강
7__,來,올,래,올 래
5__,競,다툴,경,다툴 경
4ii,宮,집,궁,집 궁
3__,屢,여러,루,여러 루
5ii,具,갖출,구,갖출 구
3__,漫,흩어질,만,흩어질 만
3__,慨,슬퍼할,개,슬퍼할 개
3__,皆,다,개,다 개
3__,敦,도타울,돈,도타울 돈
6__,米,쌀,미,쌀 미
4__,髮,터럭,발,터럭 발
3ii,蒙,어두울,몽,어두울 몽
8__,國,나라,국,나라 국
3ii,鳳,봉새,봉,봉새 봉
7ii,男,사내,남,사내 남
7ii,物,물건,물,물건 물
4__,看,볼,간,볼 간
5ii,良,어질,량,어질 량
6ii,明,밝을,명,밝을 명
3ii,泥,진흙,니,진흙 니
6__,禮,예도,례,예도 례
5ii,格,격식,격,격식 격
3ii,佳,아름다울,가,아름다울 가
4__,劇,심할,극,심할 극
3ii,刊,새길,간,새길 간
3ii,突,갑자기,돌,갑자기 돌
3ii,琴,거문고,금,거문고 금
3ii,繁,번성할,번,번성할 번
5ii,告,고할,고,고할 고
3ii,排,밀칠,배,밀칠 배
5__,健,굳셀,건,굳셀 건
