level,hanja,mean,pron,hms
4ii,密,빽빽할,밀,빽빽할 밀
3ii,禽,새,금,새 금
3ii,靈,신령,령,신령 령
4__,居,살,거,살 거
3__,墳,무덤,분,무덤 분
4__,碑,비석,비,비석 비
3__,鹿,사슴,록,사슴 록
3ii,貿,무역할,무,무역할 무
3ii,培,북돋울,배,북돋울 배
3__,郭,둘레/외성,곽,둘레/외성 곽
3ii,槪,대개,개,대개 개
7__,命,목숨,명,목숨 명
3ii,戀,그리워할/그릴,련,그리워할/그릴 련
3__,煩,번거로울,번,번거로울 번
4ii,起,일어날,기,일어날 기
4__,鷄,닭,계,닭 계
3__,憫,민망할,민,민망할 민
4__,堅,굳을,견,굳을 견
4ii,銅,구리,동,구리 동
4__,妙,묘할,묘,묘할 묘
6ii,高,높을,고,높을 고
8__,軍,군사,군,군사 군
3ii,乾,하늘/마를,건,하늘/마를 건
6ii,界,지경,계,지경 계
4__,模,본뜰,모,본뜰 모
3__,劣,못할,렬,못할 렬
8__,女,계집,녀,계집 녀
3ii,附,붙을,부,붙을 부
6__,根,뿌리,근,뿌리 근
4__,墓,무덤,묘,무덤 묘
5ii,流,흐를,류,흐를 류
7__,歌,노래,가,노래 가
6ii,對,대할,대,대할 대
6__,死,죽을,사,죽을 사
3ii,蘭,난초,란,난초 란
5ii,奉,받들,봉,받들 봉
4ii,飛,날,비,날 비
3ii,尙,오히려,상,오히려 상
3ii,契,맺을,계,맺을 계
6__,郡,고을,군,고을 군
3ii,倫,인륜,륜,인륜 륜
4__,降,내릴,강,내릴 강|항복할 항
5__,救,구원할,구,구원할 구
3ii,菊,국화,국,국화 국
3__,叫,부르짖을,규,부르짖을 규
4__,傾,기울,경,기울 경
4ii,復,회복할,복,회복할 복|다시 부
3ii,械,기계,계,기계 계
7__,夫,지아비,부,지아비 부
3__,挑,돋울,도,돋울 도
4ii,斗,말,두,말 두
3__,憐,불쌍히여길,련,불쌍히여길 련
3ii,娘,계집,낭,계집 낭
8__,年,해,년,해 년
5ii,類,무리,류,무리 류
3ii,樓,다락,루,다락 루
8__,東,동녘,동,동녘 동
5__,壇,단,단,단 단
3ii,剛,굳셀,강,굳셀 강
4ii,達,통달할,달,통달할 달
3__,斯,이,사,이 사
3ii,眠,잘,면,잘 면
6ii,等,무리,등,무리 등
3__,慢,거만할,만,거만할 만
3ii,盟,맹세,맹,맹세 맹
6ii,科,과목,과,과목 과
3ii,距,상거할,거,상거할 거
4__,龍,용,룡,용 룡
3ii,耐,견딜,내,견딜 내
3__,糾,얽을,규,얽을 규
3__,苗,모,묘,모 묘
3__,冒,무릅쓸,모,무릅쓸 모
4__,更,고칠,경,고칠 경|다시 갱
4__,敢,감히/구태여,감,감히/구태여 감
3ii,峯,봉우리,봉,봉우리 봉
4__,激,격할,격,격할 격
3ii,芳,꽃다울,방,꽃다울 방
5ii,法,법,법,법 법
3__,倣,본뜰,방,본뜰 방
3__,巳,뱀,사,뱀 사
3ii,梅,매화,매,매화 매
4ii,究,연구할,구,연구할 구
3ii,漠,넓을,막,넓을 막
3__,坤,땅,곤,땅 곤
5__,領,거느릴,령,거느릴 령
3__,傍,곁,방,곁 방
3__,詐,속일,사,속일 사
3ii,補,기울,보,기울 보
3ii,爐,화로,로,화로 로
3__,飢,주릴,기,주릴 기
4__,紀,벼리,기,벼리 기
3__,朋,벗,붕,벗 붕
4ii,兩,두,량,두 량
5__,買,살,매,살 매
3__,幾,몇,기,몇 기
3ii,肥,살찔,비,살찔 비
3ii,勵,힘쓸,려,힘쓸 려
3ii,唐,당나라/당황할,당,당나라/당황할 당
7ii,農,농사,농,농사 농
3ii,巧,공교할,교,공교할 교
