level,hanja,mean,pron,hms
6ii,童,아이,동,아이 동
8__,木,나무,목,나무 목
4__,妨,방해할,방,방해할 방
3ii,浪,물결,랑,물결 랑
4ii,婦,며느리,부,며느리 부
4__,離,떠날,리,떠날 리
3__,豚,돼지,돈,돼지 돈
3ii,付,부칠,부,부칠 부
3__,頻,자주,빈,자주 빈
3__,塗,칠할,도,칠할 도
3__,蜜,꿀,밀,꿀 밀
3ii,斜,비낄,사,비낄 사
3ii,微,작을,미,작을 미
5__,考,생각할,고,생각할 고
5ii,德,큰,덕,큰 덕
8__,九,아홉,구,아홉 구
3ii,嶺,고개,령,고개 령
3ii,吏,벼슬아치/관리,리,벼슬아치/관리 리
3__,梨,배,리,배 리
4ii,邊,가,변,가 변
3__,跳,뛸,도,뛸 도
8__,萬,일만,만,일만 만
4ii,貧,가난할,빈,가난할 빈
3ii,紋,무늬,문,무늬 문
4__,攻,칠,공,칠 공
5ii,團,둥글,단,둥글 단
5__,査,조사할,사,조사할 사
6__,古,예,고,예 고
3__,獵,사냥,렵,사냥 렵
3__,了,마칠,료,마칠 료
3__,埋,묻을,매,묻을 매
7__,面,낯,면,낯 면
4__,烈,매울,렬,매울 렬
3ii,盲,소경/눈멀,맹,소경/눈멀 맹
4__,卷,책,권,책 권
4ii,博,넓을,박,넓을 박
7ii,上,윗,상,윗 상
4__,勤,부지런할,근,부지런할 근
5ii,旅,나그네,려,나그네 려
5__,去,갈,거,갈 거
6ii,果,실과,과,실과 과
4ii,警,깨우칠,경,깨우칠 경
7ii,力,힘,력,힘 력
4__,絲,실,사,실 사
4__,拍,칠,박,칠 박
3ii,祀,제사,사,제사 사
3ii,硬,굳을,경,굳을 경
3__,冥,어두울,명,어두울 명
3ii,茂,무성할,무,무성할 무
7__,老,늙을,로,늙을 로
3__,枯,마를,고,마를 고
5__,無,없을,무,없을 무
3ii,履,밟을,리,밟을 리
3ii,裏,속,리,속 리
3ii,謀,꾀,모,꾀 모
6ii,代,대신할,대,대신할 대
4ii,督,감독할,독,감독할 독
3__,卜,점,복,점 복
4ii,器,그릇,기,그릇 기
4ii,檀,박달나무,단,박달나무 단
7__,文,글월,문,글월 문
3ii,銘,새길,명,새길 명
5ii,見,볼,견,볼 견|뵈올 현
3ii,肝,간,간,간 간
4__,卵,알,란,알 란
3__,鈍,둔할,둔,둔할 둔
7ii,事,일,사,일 사
4ii,權,권세,권,권세 권
4ii,禁,금할,금,금할 금
6ii,角,뿔,각,뿔 각
3__,返,돌이킬,반,돌이킬 반
3ii,麻,삼,마,삼 마
3ii,途,길,도,길 도
3__,那,어찌,나,어찌 나
8__,山,메,산,메 산
3__,邦,나라,방,나라 방
3__,驅,몰,구,몰 구
3ii,邪,간사할,사,간사할 사
3ii,訣,이별할,결,이별할 결
4__,困,곤할,곤,곤할 곤
4__,射,쏠,사,쏠 사
6ii,樂,즐길,락,즐길 락|노래 악|좋아할 요
3__,棄,버릴,기,버릴 기
4__,亂,어지러울,란,어지러울 란
3__,戊,천간,무,천간 무
5ii,仕,섬길,사,섬길 사
4ii,個,낱,개,낱 개
4__,糧,양식,량,양식 량
3ii,拘,잡을,구,잡을 구
7ii,氣,기운,기,기운 기
3__,赴,다다를/갈,부,다다를/갈 부
3ii,旦,아침,단,아침 단
7ii,名,이름,명,이름 명
4__,孤,외로울,고,외로울 고
4__,券,문서,권,문서 권
7__,算,셈,산,셈 산
3__,俱,함께,구,함께 구
3ii,誇,자랑할,과,자랑할 과
3ii,郞,사내,랑,사내 랑
8__,大,큰,대,큰 대
