level,hanja,mean,pron,hms
5ii,朗,밝을,랑,밝을 랑
5ii,舊,예,구,예 구
3__,牽,이끌/끌,견,이끌/끌 견
3__,畓,논,답,논 답
3ii,克,이길,극,이길 극
4__,勉,힘쓸,면,힘쓸 면
4ii,羅,벌릴,라,벌릴 라
4ii,檢,검사할,검,검사할 검
3ii,寡,적을,과,적을 과
3ii,貸,빌릴/뀔,대,빌릴/뀔 대
5__,比,견줄,비,견줄 비
4ii,缺,이지러질,결,이지러질 결
4ii,極,다할/극진할,극,다할/극진할 극
8__,敎,가르칠,교,가르칠 교
3ii,廊,사랑채/행랑,랑,사랑채/행랑 랑
6__,多,많을,다,많을 다
3ii,緊,긴할,긴,긴할 긴
4ii,假,거짓,가,거짓 가
7ii,方,모,방,모 방
3ii,免,면할,면,면할 면
3__,叛,배반할,반,배반할 반
4ii,隊,무리,대,무리 대
3__,癸,북방/천간,계,북방/천간 계
3ii,鼓,북,고,북 고
6__,綠,푸를,록,푸를 록
3ii,符,부호,부,부호 부
3__,卯,토끼,묘,토끼 묘
4ii,康,편안,강,편안 강
3ii,逢,만날,봉,만날 봉
4ii,求,구할,구,구할 구
3ii,晩,늦을,만,늦을 만
3ii,簿,문서,부,문서 부
3ii,媒,중매,매,중매 매
5__,賣,팔,매,팔 매
4__,逃,도망할,도,도망할 도
7__,洞,골,동,골 동|밝을 통
4ii,麗,고울,려,고울 려
5__,建,세울,건,세울 건
4ii,拜,절,배,절 배
4__,巨,클,거,클 거
3__,募,모을/뽑을,모,모을/뽑을 모
3__,掠,노략질할,략,노략질할 략
3ii,謙,겸손할,겸,겸손할 겸
5ii,産,낳을,산,낳을 산
5__,輕,가벼울,경,가벼울 경
4ii,背,등,배,등 배
3__,肯,즐길,긍,즐길 긍
4ii,官,벼슬,관,벼슬 관
4__,骨,뼈,골,뼈 골
6ii,公,공평할,공,공평할 공
5__,貴,귀할,귀,귀할 귀
3ii,介,낄,개,낄 개
3ii,聯,연이을,련,연이을 련
7ii,江,강,강,강 강
4__,徒,무리,도,무리 도
6__,番,차례,번,차례 번
3ii,沒,빠질,몰,빠질 몰
3__,僅,겨우,근,겨우 근
4ii,列,벌릴,렬,벌릴 렬
4ii,斷,끊을,단,끊을 단
4__,暇,틈/겨를,가,틈/겨를 가
3ii,累,여러/자주,루,여러/자주 루
3ii,麥,보리,맥,보리 맥
4ii,連,이을,련,이을 련
4ii,留,머무를,류,머무를 류
3ii,丘,언덕,구,언덕 구
5__,技,재주,기,재주 기
3ii,扶,도울,부,도울 부
4__,階,섬돌,계,섬돌 계
6ii,發,필,발,필 발
4__,舞,춤출,무,춤출 무
3ii,但,다만,단,다만 단
4ii,舍,집,사,집 사
7ii,動,움직일,동,움직일 동
3__,却,물리칠,각,물리칠 각
3ii,率,비율,률,비율 률|거느릴 솔
3ii,寬,너그러울,관,너그러울 관
4ii,減,덜,감,덜 감
3ii,墨,먹,묵,먹 묵
4ii,端,끝,단,끝 단
5ii,關,관계할,관,관계할 관
6ii,部,떼,부,떼 부
4ii,單,홑,단,홑 단
6__,病,병,병,병 병
5__,思,생각,사,생각 사
3__,眉,눈썹,미,눈썹 미
3ii,莫,없을,막,없을 막
3ii,兼,겸할,겸,겸할 겸
4__,儉,검소할,검,검소할 검
4ii,境,지경,경,지경 경
4ii,報,갚을/알릴,보,갚을/알릴 보
3ii,隔,사이뜰,격,사이뜰 격
4ii,務,힘쓸,무,힘쓸 무
4ii,謝,사례할,사,사례할 사
3__,敏,민첩할,민,민첩할 민
4__,覽,볼,람,볼 람
4__,甘,달,감,달 감
7ii,家,집,가,집 가
5ii,己,몸,기,몸 기
4ii,街,거리,가,거리 가
