level,hanja,mean,pron,hms
6ii,讀,읽을,독,읽을 독|구절 두
8__,白,흰,백,흰 백
3__,顧,돌아볼,고,돌아볼 고
3ii,慣,익숙할,관,익숙할 관
3__,惱,번뇌할,뇌,번뇌할 뇌
3ii,飯,밥,반,밥 반
6__,近,가까울,근,가까울 근
6ii,班,나눌,반,나눌 반
3__,朔,초하루,삭,초하루 삭
3ii,耕,밭갈,경,밭갈 경
5__,費,쓸,비,쓸 비
5ii,局,판,국,판 국
3__,隷,종,례,종 례
4__,筋,힘줄,근,힘줄 근
4ii,非,아닐,비,아닐 비
6ii,利,이할,리,이할 리
3__,旣,이미,기,이미 기
3__,懼,두려워할,구,두려워할 구
3ii,封,봉할,봉,봉할 봉
3__,僚,동료,료,동료 료
5ii,廣,넓을,광,넓을 광
3ii,臺,대,대,대 대
3ii,鍊,쇠불릴/단련할,련,쇠불릴/단련할 련
8__,三,석,삼,석 삼
3ii,幹,줄기,간,줄기 간
3__,忌,꺼릴,기,꺼릴 기
3__,諒,살펴알/믿을,량,살펴알/믿을 량
4ii,故,연고,고,연고 고
3__,聘,부를,빙,부를 빙
4__,擊,칠,격,칠 격
7ii,不,아닐,불,아닐 불
4ii,帶,띠,대,띠 대
3ii,恭,공손할,공,공손할 공
3ii,奴,종,노,종 노
4ii,難,어려울,난,어려울 난
4ii,師,스승,사,스승 사
3__,屯,진칠,둔,진칠 둔
5ii,歷,지날,력,지날 력
7__,林,수풀,림,수풀 림
3__,矯,바로잡을,교,바로잡을 교
3__,忘,잊을,망,잊을 망
5ii,敬,공경,경,공경 경
3ii,曆,책력,력,책력 력
4__,構,얽을,구,얽을 구
8__,民,백성,민,백성 민
3ii,腹,배,복,배 복
3ii,踏,밟을,답,밟을 답
3ii,閣,집,각,집 각
6ii,圖,그림,도,그림 도
3__,卿,벼슬,경,벼슬 경
3ii,漏,샐,루,샐 루
6ii,短,짧을,단,짧을 단
4ii,豆,콩,두,콩 두
7ii,每,매양,매,매양 매
6__,京,서울,경,서울 경
3ii,欄,난간,란,난간 란
3ii,睦,화목할,목,화목할 목
7__,百,일백,백,일백 백
3ii,壞,무너질,괴,무너질 괴
5__,談,말씀,담,말씀 담
7ii,間,사이,간,사이 간
5__,加,더할,가,더할 가
3ii,糖,엿,당,엿 당
4__,妹,누이,매,누이 매
4ii,燈,등,등,등 등
4__,複,겹칠,복,겹칠 복
5ii,福,복,복,복 복
3ii,怪,괴이할,괴,괴이할 괴
5ii,望,바랄,망,바랄 망
3__,霧,안개,무,안개 무
3ii,久,오랠,구,오랠 구
5ii,結,맺을,결,맺을 결
6__,例,법식,례,법식 례
3ii,紛,어지러울,분,어지러울 분
5ii,獨,홀로,독,홀로 독
3ii,拳,주먹,권,주먹 권
4__,慮,생각할,려,생각할 려
4__,犯,범할,범,범할 범
3ii,蓋,덮을,개,덮을 개
3__,渴,목마를,갈,목마를 갈
4__,傑,뛰어날,걸,뛰어날 걸
6ii,反,돌이킬/돌아올,반,돌이킬/돌아올 반
7__,旗,기,기,기 기
8__,金,쇠,금,쇠 금|성 김
4__,系,이어맬,계,이어맬 계
3ii,陶,질그릇,도,질그릇 도
8__,四,넉,사,넉 사
6__,美,아름다울,미,아름다울 미
3ii,祿,녹,록,녹 록
5__,鼻,코,비,코 비
3__,奈,어찌,내,어찌 내
6ii,放,놓을,방,놓을 방
4__,管,대롱/주관할,관,대롱/주관할 관
3__,斤,근/날,근,근/날 근
3ii,婢,계집종,비,계집종 비
7__,問,물을,문,물을 문
8__,母,어미,모,어미 모
4ii,防,막을,방,막을 방
5ii,士,선비,사,선비 사
3ii,般,가지/일반,반,가지/일반 반
