level,hanja,mean,pron,hms
6__,路,길,로,길 로
3ii,寧,편안,녕,편안 녕
4ii,未,아닐,미,아닐 미
3ii,哭,울,곡,울 곡
6ii,共,한가지,공,한가지 공
3ii,鑑,거울,감,거울 감
6ii,急,급할,급,급할 급
3__,愧,부끄러울,괴,부끄러울 괴
3ii,涼,서늘할,량,서늘할 량
4__,覺,깨달을,각,깨달을 각
4ii,牧,칠,목,칠 목
3__,某,아무,모,아무 모
6ii,功,공,공,공 공
3__,淚,눈물,루,눈물 루
6__,苦,쓸,고,쓸 고
4ii,寺,절,사,절 사
3ii,奔,달릴,분,달릴 분
5__,島,섬,도,섬 도
5__,氷,얼음,빙,얼음 빙
5ii,陸,뭍,륙,뭍 륙
3__,遣,보낼,견,보낼 견
4__,機,틀,기,틀 기
5ii,當,마땅,당,마땅 당
3__,零,떨어질/영,령,떨어질/영 령
4ii,府,마을,부,마을 부
3ii,滅,꺼질/멸할,멸,꺼질/멸할 멸
3ii,畿,경기,기,경기 기
4__,私,사사,사,사사 사
7ii,車,수레,거,수레 거|수레 차
3ii,冠,갓,관,갓 관
4ii,寶,보배,보,보배 보
4__,柳,버들,류,버들 류
3ii,渡,건널,도,건널 도
4__,寄,부칠,기,부칠 기
3ii,桂,계수나무,계,계수나무 계
5ii,觀,볼,관,볼 관
5ii,客,손,객,손 객
3ii,館,집,관,집 관
3__,賜,줄,사,줄 사
3ii,碧,푸를,벽,푸를 벽
4__,奇,기특할,기,기특할 기
5ii,決,결단할,결,결단할 결
4ii,錄,기록할,록,기록할 록
5__,落,떨어질,락,떨어질 락
3__,捨,버릴,사,버릴 사
4ii,滿,찰,만,찰 만
3ii,綿,솜,면,솜 면
3ii,徑,지름길/길,경,지름길/길 경
4ii,講,욀,강,욀 강
5ii,兵,병사,병,병사 병
3ii,祈,빌,기,빌 기
3__,郊,들,교,들 교
3ii,賴,의뢰할,뢰,의뢰할 뢰
3ii,及,미칠,급,미칠 급
4__,戒,경계할,계,경계할 계
4__,普,넓을,보,넓을 보
3__,廉,청렴할,렴,청렴할 렴
3ii,尾,꼬리,미,꼬리 미
3ii,默,잠잠할,묵,잠잠할 묵
8__,六,여섯,륙,여섯 륙
4__,鳴,울,명,울 명
3ii,孟,맏,맹,맏 맹
3ii,企,꾀할,기,꾀할 기
4__,段,층계,단,층계 단
3__,崩,무너질,붕,무너질 붕
5__,馬,말,마,말 마
4__,君,임금,군,임금 군
5__,固,굳을,고,굳을 고
7ii,記,기록할,기,기록할 기
5__,擧,들,거,들 거
3ii,貌,모양,모,모양 모
4ii,佛,부처,불,부처 불
3__,庚,별,경,별 경
3ii,妃,왕비,비,왕비 비
7__,口,입,구,입 구
3ii,狂,미칠,광,미칠 광
3__,篤,도타울,독,도타울 독
4__,粉,가루,분,가루 분
5ii,變,변할,변,변할 변
5__,件,물건,건,물건 건
6__,服,옷,복,옷 복
6__,使,하여금/부릴,사,하여금/부릴 사
3__,軌,바퀴자국,궤,바퀴자국 궤
6__,感,느낄,감,느낄 감
3ii,蓮,연꽃,련,연꽃 련
5__,量,헤아릴,량,헤아릴 량
4__,鑛,쇳돌,광,쇳돌 광
3ii,幕,장막,막,장막 막
3ii,栗,밤,률,밤 률
4__,鏡,거울,경,거울 경
3__,似,닮을,사,닮을 사
8__,校,학교,교,학교 교
3ii,浮,뜰,부,뜰 부
3__,乃,이에,내,이에 내
3__,苟,진실로/구차할,구,진실로/구차할 구
4__,範,법,범,법 범
5ii,基,터,기,터 기
3ii,谷,골,곡,골 곡
4__,干,방패,간,방패 간
3__,飜,번역할,번,번역할 번
