level,hanja,mean,pron,hms
3__,絹,비단,견,비단 견
6ii,分,나눌,분,나눌 분
3ii,騎,말탈,기,말탈 기
4ii,怒,성낼,노,성낼 노
4__,群,무리,군,무리 군
3ii,詞,말/글,사,말/글 사
8__,北,북녘,북,북녘 북|달아날 배
3ii,薄,엷을,박,엷을 박
7__,里,마을,리,마을 리
4ii,論,논할,론,논할 론
3ii,輩,무리,배,무리 배
4ii,經,지날/글,경,지날/글 경
3__,肩,어깨,견,어깨 견
3__,蜂,벌,봉,벌 봉
3__,稻,벼,도,벼 도
3ii,裂,찢어질,렬,찢어질 렬
3__,廟,사당,묘,사당 묘
6__,別,다를/나눌,별,다를/나눌 별
3ii,貫,꿸,관,꿸 관
4__,憤,분할,분,분할 분
3ii,淡,맑을,담,맑을 담
5ii,課,공부할/과정,과,공부할/과정 과
4__,否,아닐,부,아닐 부
3ii,削,깎을,삭,깎을 삭
4__,據,근거,거,근거 거
3ii,譜,족보,보,족보 보
5__,改,고칠,개,고칠 개
5__,橋,다리,교,다리 교
5__,末,끝,말,끝 말
3ii,陵,언덕,릉,언덕 릉
8__,南,남녘,남,남녘 남
3ii,司,맡을,사,맡을 사
4ii,殺,죽일,살,죽일 살|감할/빠를 쇄
3__,暮,저물,모,저물 모
6ii,球,공,구,공 구
6ii,半,반,반,반 반
6__,頭,머리,두,머리 두
7ii,空,빌,공,빌 공
4ii,潔,깨끗할,결,깨끗할 결
7ii,工,장인,공,장인 공
4__,犬,개,견,개 견
4ii,步,걸음,보,걸음 보
3ii,錦,비단,금,비단 금
3ii,腐,썩을,부,썩을 부
6__,李,오얏/성,리,오얏/성 리
3__,竟,마침내,경,마침내 경
6__,區,구분할/지경,구,구분할/지경 구
6__,本,근본,본,근본 본
3ii,賦,부세,부,부세 부
3ii,隆,높을,륭,높을 륭
3ii,菌,버섯,균,버섯 균
4__,屈,굽힐,굴,굽힐 굴
6ii,聞,들을,문,들을 문
3__,姦,간음할,간,간음할 간
3ii,刀,칼,도,칼 도
6__,強,강할,강,강할 강
3__,掛,걸,괘,걸 괘
3ii,桃,복숭아,도,복숭아 도
4__,孔,구멍,공,구멍 공
3__,忙,바쁠,망,바쁠 망
5__,期,기약할,기,기약할 기
3ii,卑,낮을,비,낮을 비
6__,級,등급,급,등급 급
4__,盜,도둑,도,도둑 도
5ii,過,지날,과,지날 과
5ii,練,익힐,련,익힐 련
6__,目,눈,목,눈 목
3ii,恐,두려울,공,두려울 공
3__,杯,잔,배,잔 배
4ii,暖,따뜻할,난,따뜻할 난
3ii,夢,꿈,몽,꿈 몽
3ii,弄,희롱할,롱,희롱할 롱
3__,迷,미혹할,미,미혹할 미
3ii,雷,우레,뢰,우레 뢰
5__,汽,물끓는김,기,물끓는김 기
5__,曲,굽을,곡,굽을 곡
3ii,拔,뽑을,발,뽑을 발
8__,父,아비,부,아비 부
3ii,頃,이랑/잠깐,경,이랑/잠깐 경
3__,濫,넘칠,람,넘칠 람
4__,驚,놀랄,경,놀랄 경
4__,窮,다할/궁할,궁,다할/궁할 궁
5__,亡,망할,망,망할 망
4ii,壁,벽,벽,벽 벽
3__,狗,개,구,개 구
3ii,迫,핍박할,박,핍박할 박
3ii,供,이바지할,공,이바지할 공
4__,刻,새길,각,새길 각
4__,略,간략할/약할,략,간략할/약할 략
3__,泊,머무를/배댈,박,머무를/배댈 박
5ii,念,생각,념,생각 념
3ii,凍,얼,동,얼 동
4__,繼,이을,계,이을 계
3ii,拂,떨칠,불,떨칠 불
4__,均,고를,균,고를 균
3ii,溪,시내,계,시내 계
5ii,價,값,가,값 가
4__,納,들일,납,들일 납
5ii,到,이를,도,이를 도
3ii,露,이슬,로,이슬 로
